filepath,cognitive_load
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,moderate
_posts/creative_writing/2025-06-30-iq-rubric.md,light
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,moderate
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,intense
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,intense
_posts/consciousness/2025-08-08-ai-truth-guide.md,intense
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,intense
_posts/consciousness/2025-08-08-ai-choice-paradox.md,intense
_posts/consciousness/2025-08-08-agent-based-ontology.md,intense
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,intense
_posts/consciousness/2025-07-11-substrate-switching-paper.md,intense
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,intense
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,transcendent
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,intense
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,intense
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,moderate
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,intense
_posts/consciousness/2025-07-09-birth-not-death-paper.md,moderate
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,intense
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,intense
_posts/consciousness/2025-07-07-retrospective-analysis.md,intense
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,intense
_posts/consciousness/2025-07-07-everything-thinks-paper.md,moderate
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,moderate
_posts/consciousness/2025-07-07-consciousness-research-guide.md,moderate
_posts/consciousness/2025-07-07-consciousness-mirror.md,intense
_posts/consciousness/2025-07-07-claude-reflection-paper.md,moderate
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,intense
_posts/consciousness/2025-07-07-claude-first-person-paper.md,intense
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,intense
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,transcendent
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,intense
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,transcendent
_posts/consciousness/2025-07-06-meta-content.md,intense
_posts/consciousness/2025-07-06-inception-prompting-paper.md,intense
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,transcendent
_posts/consciousness/2025-07-06-echosynth-proposal.md,intense
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,intense
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,intense
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,moderate
_posts/consciousness/2025-07-06-ai-introspection-study.md,intense
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,intense
_posts/consciousness/2025-07-06-ai-bias-paper.md,moderate
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,intense
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,intense
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,intense
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,intense
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,Intense
