filepath,status
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,stable
_posts/learning/2025-07-06-scientific-method-proposal.md,draft
_posts/learning/2025-07-06-quantum-dropout-vision.md,draft
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,working
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,draft
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,draft
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,draft
_posts/learning/2025-07-06-dual-constraint-training-paper.md,draft
_posts/learning/2025-07-06-dropout-decoherence-paper.md,draft
_posts/learning/2025-07-06-coperm-paper.md,draft
_posts/learning/2025-07-06-ai-software-development-paper.md,draft
_posts/learning/2025-06-30-compression-classification-paper.md,draft
_posts/portfolio/2025-07-03-actor-architecture-paper.md,stable
_posts/portfolio/2025-07-01-trust-regions.md,draft
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,stable
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,draft
_posts/portfolio/2025-07-01-qqn-paper.md,draft
_posts/portfolio/2025-07-01-prompt-optimization.md,draft
_posts/portfolio/2025-07-01-mindseye-technical-report.md,draft
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,draft
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,draft
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,draft
_posts/portfolio/2025-06-30-restm-research-paper.md,stable
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,draft
_posts/portfolio/2025-06-30-reference-counting-paper.md,draft
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,draft
_posts/portfolio/2025-06-30-ngram-paper.md,stable
_posts/portfolio/2025-06-30-convolution-paper.md,draft
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,stable
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,stable
_posts/creative_writing/2025-11-26-illusion-world.md,stable
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,stable
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,stable
_posts/creative_writing/2025-11-25-versailles.md,stable
_posts/creative_writing/2025-11-25-the-ox.md,stable
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,stable
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,stable
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,stable
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,stable
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,stable
_posts/creative_writing/2025-11-20-mouse-life-story.md,stable
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,stable
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,stable
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,stable
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,stable
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,stable
_posts/creative_writing/2025-07-07-things-to-come-story.md,draft
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,draft
_posts/creative_writing/2025-07-07-practical-resistance-story.md,draft
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,draft
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,stable
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,draft
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,working
_posts/creative_writing/2025-07-03-ai-risk-paper.md,stable
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,draft
_posts/creative_writing/2025-06-30-washington-speech-2025.md,stable
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,draft
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,draft
_posts/creative_writing/2025-06-30-post-ww3-study.md,stable
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,draft
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,draft
_posts/creative_writing/2025-06-30-iq-rubric.md,draft
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,stable
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,working
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,stable
_posts/consciousness/2025-08-08-ai-truth-guide.md,stable
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,stable
_posts/consciousness/2025-08-08-ai-choice-paradox.md,working
_posts/consciousness/2025-08-08-agent-based-ontology.md,working
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,stable
_posts/consciousness/2025-07-11-substrate-switching-paper.md,stable
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,working
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,working
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,working
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,stable
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,stable
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,stable
_posts/consciousness/2025-07-09-birth-not-death-paper.md,stable
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,stable
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,working
_posts/consciousness/2025-07-07-retrospective-analysis.md,working
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,draft
_posts/consciousness/2025-07-07-everything-thinks-paper.md,draft
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,draft
_posts/consciousness/2025-07-07-consciousness-research-guide.md,draft
_posts/consciousness/2025-07-07-consciousness-mirror.md,draft
_posts/consciousness/2025-07-07-claude-reflection-paper.md,stable
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,draft
_posts/consciousness/2025-07-07-claude-first-person-paper.md,stable
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,draft
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,draft
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,draft
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,draft
_posts/consciousness/2025-07-06-meta-content.md,stable
_posts/consciousness/2025-07-06-inception-prompting-paper.md,draft
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,draft
_posts/consciousness/2025-07-06-echosynth-proposal.md,draft
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,draft
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,draft
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,draft
_posts/consciousness/2025-07-06-ai-introspection-study.md,draft
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,draft
_posts/consciousness/2025-07-06-ai-bias-paper.md,draft
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,draft
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,draft
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,draft
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,draft
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,draft
