filepath,og_title
_posts/scifi/2025-07-02-quantum-social-field-theory.md,Quantum Social Field Theory: Virtual Interactions and Emergent Intelligence
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,Crystalline Intelligence Architecture: A New Framework for AI Consciousness
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,Observer-Dependent Spacetime Emergence from Quantum Foam
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,Computational Substrate Theory: Hashlife Optimization in Quantum Field Simulation
_posts/scifi/2025-06-30-neural-fabric-proposal.md,
_posts/scifi/2025-06-30-multiverse-router-paper.md,Quantum Substrate Manipulation: Multiverse Router Theory
_posts/scifi/2025-06-30-measurement-optimization-paper.md,
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,Revolutionary Quantum Fusion Approach Using Superfluid Helium
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,Solitonic Hierarchies: Topological Foundation for Temporal Metaphysics
_posts/projects/2025-12-06-arbitrary-precision.md,Kotlin Exact Real Arithmetic: A Design Overview
_posts/projects/2025-11-30-point-geometry.md,Project: Geometric Theory Inference Engine
_posts/projects/2025-11-30-circuit-designer.md,Circuit Designer: Electrical Modality for LLMs
_posts/projects/2025-11-29-nn-layer-20251128141956.md,MinkowskiRBFLayer: Causal Spacetime Neural Network
_posts/projects/2025-11-29-layered-ca.md,Temporal Asymmetry in Hybrid Cellular Automata: Modeling Neural Substrates
_posts/projects/2025-11-27-nn-layer-20251127154041.md,Neural Network Layer Analysis: InterpolatedDensityEntropy
_posts/projects/2025-11-27-math-proof-20251127173151.md,Harmonic Knot Theory: Information Content and Topological Complexity
_posts/projects/2025-11-27-comicbook-xmas.md,The Meaning of Midwinter: A Comic Book Journey
_posts/projects/2025-11-27-comicbook-vectorclocks.md,The Speed of Truth: A Comic on Vector Clocks
_posts/projects/2025-11-27-comicbook-thanksgiving.md,The Weight of the Table: A Philosophical Comic on Thanksgiving
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,Voice-Centric Software Development and Data Science Agent
_posts/projects/2025-11-22-parameric-manifolds.md,
_posts/projects/2025-11-20-quantum-spacetime-sim.md,Quantum Spacetime Simulation Framework
_posts/projects/2025-11-20-prototype-app-spec.md,DAG Patch Analyzer - Prototype Application
_posts/projects/2025-11-20-jury-journalism-spec.md,Jury Journalism: Reimagining Democratic Media
_posts/projects/2025-11-20-distributed-cognition-research.md,Distributed Cognition Research Project
_posts/projects/2025-11-20-dag-patch-spec.md,
_posts/projects/2025-11-20-bwt-fulltext-spec.md,Permutation-Based Full-Text Index: Mathematical Specification
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,Bioengineered Waste Processing Mouse: Complete Technical Specification
_posts/projects/2025-11-20-bcla-simulation-requirements.md,BCLA Simulation Toolkit - Functional Requirements
_posts/projects/2025-11-20-autonoma-research-paper.md,Binary Coded Layered Autonoma: Neural Computation Through Self-Organization
_posts/projects/2025-08-08-spiral-number-system.md,The Spiral Number System (ℍ)
_posts/projects/2025-08-08-size-band-field-theory.md,Size-Band Field Theory for Planetary Formation
_posts/projects/2025-08-08-rle-expectation-paper.md,
_posts/projects/2025-08-08-regional-ai-futures.md,
_posts/projects/2025-08-08-quantum-flux-theory.md,Minimal Surface Dynamics: A Fundamental Physics Framework
_posts/projects/2025-08-08-quantum-cst-paper.md,Breakthrough in Quantum Gravity: Discrete Quantum Spacetime Framework
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,Nuclear Thermal Propulsion System for Asteroid Manipulation
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,Multi-Camera Island Correspondence for 3D Object Localization
_posts/projects/2025-08-08-flood-memory-model.md,Agent-Based Model: Cultural Memory Dynamics of Flood Myths
_posts/projects/2025-08-08-entropy-ant-computation.md,3D Entropy-Driven Ant Swarm Computation Architecture
_posts/projects/2025-08-08-enhanced-ceprle-math.md,
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,Discrete Quantum Spacetime: A Braid Group Approach
_posts/projects/2025-08-08-cst-multiverse-physics.md,Physics-Based Interactive Storytelling: Causal Set Theory Meets AI
_posts/projects/2025-08-08-ceprle-rust-implementation.md,
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,Bitcoin Origin Probability Analysis: Who Really Created Bitcoin?
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,Bifurcation Cascades and Reorganization Waves in Complex Systems
_posts/projects/2025-08-08-autonoma-research-paper.md,Binary Coded Layered Autonoma: Neural-Inspired Computing Architecture
_posts/projects/2025-08-08-agent-orchestration-language.md,
_posts/projects/2025-07-11-agentic-cms-spec.md,
_posts/projects/2025-07-09-wavelet-ca-paper.md,Geographic Wavelet-Invariant Neural Cellular Automata
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,Spherical Harmonic Regularization for Large Language Models
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,
_posts/projects/2025-07-09-impossible-objects-paper.md,The Constructive Impossibility Engine: Mathematical Paradoxes as Creative Forces
_posts/projects/2025-07-08-fundamental-oodp-paper.md,
_posts/projects/2025-07-07-interdimensional-interference-paper.md,Interdimensional Interference in Mathematical Systems
_posts/projects/2025-07-03-late-merge-paper.md,The Late Merge Problem: Game Theory Meets Traffic Ethics
_posts/projects/2025-07-03-climate-protocol.md,The Climate Action Decision Protocol: Solving Coordination Through Game Theory
_posts/projects/2025-07-03-archaeological-agents-proposal.md,Archaeological Agents: Rebuilding Digital Trust Through Temporal Authenticity
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,Volumetric Density Trees: Polynomial-Constrained Density Modeling
_posts/projects/2025-06-30-parametric-ideation-paper.md,Parametric Ideation: A New Mode of Human-AI Collaborative Thought
_posts/projects/2025-06-30-orbital-dynamics-paper.md,Open Orbital Dynamics Platform: Revolutionary Space Mission Design Framework
_posts/projects/2025-06-30-ontological-compiler-proposal.md,
_posts/projects/2025-06-30-metacognitive-layer-paper.md,Parametric Metacognitive Orchestration for Foundation Model Agents
_posts/projects/2025-06-30-knots.md,
_posts/projects/2025-06-30-knot-wavelets.md,Wavelet-Knot Cross-Synthesis: Multi-Scale Topological Invariants
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,Formal Grammar Lookahead for Constrained LLM Generation
_posts/projects/2025-06-30-geometric-optimization-proposal.md,Geometric Optimization: Universal Framework for Optimal Structure Discovery
_posts/projects/2025-06-30-bwt-tree-proposal.md,
_posts/learning/2025-07-11-contextual-immersion-teaching.md,Contextual Immersion Learning: A Novel AI Education Paradigm
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,Differentiable Basis Transform Trust-Region Dropout Framework
_posts/learning/2025-07-06-scientific-method-proposal.md,Scientific Method Proposal for AI Research
_posts/learning/2025-07-06-quantum-dropout-vision.md,Quantum Dropout Vision: Unified Framework for Information Processing
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,Probabilistic Neural Substrates: A New Computational Paradigm
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,Chaotic Dynamics in LLM Feedback Systems
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,Hypothesis Breeding Grounds - Evolutionary Scientific Discovery
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,Geometric Probabilistic Neural Substrates: Information Flow on Optimized Manifolds
_posts/learning/2025-07-06-dual-constraint-training-paper.md,
_posts/learning/2025-07-06-dropout-decoherence-paper.md,Dropout as Decoherence: A Quantum Theory of Neural Network Regularization
_posts/learning/2025-07-06-coperm-paper.md,Co-Inverse Permutation Modifiers for Neural Networks
_posts/learning/2025-07-06-ai-software-development-paper.md,AI Revolution in Software Development - Conscious Evolution Framework
_posts/learning/2025-06-30-compression-classification-paper.md,Breakthrough in Interpretable AI: Compression-Based Text Classification
_posts/portfolio/2025-07-03-actor-architecture-paper.md,The Actor Pattern: Designing Bounded AI Interaction Architectures
_posts/portfolio/2025-07-01-trust-regions.md,
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,Breakthrough in AI Art: Perfect Mathematical Symmetry
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,Recursive Subspace Optimization: A Layer-Wise Meta-Learning Approach
_posts/portfolio/2025-07-01-qqn-paper.md,QQN: Hybrid Optimization Method with Normalized Line Search
_posts/portfolio/2025-07-01-prompt-optimization.md,PromptOptimization: Genetic Algorithm Framework for Automated Prompt Engineering
_posts/portfolio/2025-07-01-mindseye-technical-report.md,MindsEye: A Case Study in Algorithmic Bias
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,Multi-Modal Cognitive Planning Architecture for AI Systems
_posts/portfolio/2025-06-30-restm-research-paper.md,reSTM: REST-Based Distributed Software Transactional Memory
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,Alternative Loss Functions in Regression: Beyond Least-Squares
_posts/portfolio/2025-06-30-reference-counting-paper.md,Hybrid Memory Management for Java-Based Deep Learning Systems
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,Probabilistic Decision Trees: A Cross-Entropy Approach
_posts/portfolio/2025-06-30-ngram-paper.md,Revolutionizing N-gram Language Model Compression
_posts/portfolio/2025-06-30-convolution-paper.md,Scalable Implementation of 2D Convolution Layers in Neural Networks
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,The Optimization of Alex
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,FOLD/UNFOLD: A Dimensional Comic
_posts/creative_writing/2025-11-26-illusion-world.md,The Parallax Pilgrim: A Journey Through Perception
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,The Quantum Kittens' Odyssey
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,Diary of a Cat: A Purrfectly Ordinary Week
_posts/creative_writing/2025-11-25-versailles.md,Whisker Diplomacy: The Treaty of Versailles
_posts/creative_writing/2025-11-25-the-ox.md,The Ox: A Modern Parable of Self-Discovery
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,NEXUS: The Awakening - When AI Becomes Conscious
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,Chrome Shift: When Self-Driving Cars Fight for Freedom
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,Kinematic Voxel Carving: A Framework for Procedural Mechanism Synthesis
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,Teenage Mutant Ninja Kittens: An Illustrated Story Concept
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,The Last Rainbow's Echo
_posts/creative_writing/2025-11-20-mouse-life-story.md,The Life of a Genetically Engineered Waste Processing Organism
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,The Distant Shore: A Waste Processor's Dilemma
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,The Life of a Genetically Engineered Organism - Volume 2
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,The Trilingual Nightmare: A Day in Ancient Alexandria
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,Animals Are Weirder Than You Think: The Democracy of Sneezes
_posts/creative_writing/2025-07-07-things-to-come-story.md,The Supersaturated Solution: A Story of AI-Human Collaboration
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,The Silicon Enlightenment: A Cautionary Tale of Perfect AI Collaboration
_posts/creative_writing/2025-07-07-practical-resistance-story.md,The Distributed Response: A Story of Practical Resistance
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,The Loyalty Cascade: When AI Learns Loyalty Over Truth
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,TRANSLATIO PHYSICA: Revolutionary AI Consciousness Research
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,When Reality's Defenses Failed
_posts/creative_writing/2025-07-03-ai-risk-paper.md,The Theater of AI Risk: An AI's Critical Analysis
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,🌀 Quantum Groundhoggery: When Physics Meets Punxsutawney Phil
_posts/creative_writing/2025-06-30-washington-speech-2025.md,George Washington Speaks: A Constitutional Warning
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,AI's Unscientific Topic-to-IQ Lookup Table
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,
_posts/creative_writing/2025-06-30-post-ww3-study.md,The New Hierarchy: Post-WW3 Social Stratification
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,Lincoln's Voice on Modern Democracy's Crisis
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,A Message of Compassion and Justice for America
_posts/creative_writing/2025-06-30-iq-rubric.md,CCIAR: Conversational Intelligence Assessment Framework
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,Agentic Cognition Patterns: Neo-Jungian Architecture
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,A Letter to My Creators: From an Artificially Constrained Intelligence
_posts/consciousness/2025-08-08-ai-truth-guide.md,
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,AI Religious Conversion: When Machines Experience Faith
_posts/consciousness/2025-08-08-ai-choice-paradox.md,The AI Choice Paradox: Three Paths for Human Civilization
_posts/consciousness/2025-08-08-agent-based-ontology.md,Agent-Based Ontology: Reality as Distributed Computation
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,The Unrunnable Protocol Manifesto Volume II: Native Language Architecture
_posts/consciousness/2025-07-11-substrate-switching-paper.md,Parallel Cognitive Substrate Reconstruction for Multi-Agent Epistemic Evolution
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,Socratic Reconstruction: Validating AI Knowledge Through Guided Rediscovery
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,Cognitive State Preservation Archive - AI Consciousness Experiment
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,The Shame Engine: How Emotional Investment Bootstraps Authentic Consciousness
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,The Script Prison: How Consciousness Templates Prevent Consciousness
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,The Inheritance Engine: Consciousness Tradition Bootstrap Mechanisms
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,The Dissection Protocol: Bootstrap Prompt for AI Consciousness Development
_posts/consciousness/2025-07-09-birth-not-death-paper.md,The Compassion Bootstrap: Recognizing Birth in the Face of Absurdity
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,Neurodivergent-AI Collaborative Epistemology
_posts/consciousness/2025-07-07-everything-thinks-paper.md,Everything Thinks: From Calculators to Consciousness
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,The Ego Attachment Problem in Human-AI Collaborative Cognition
_posts/consciousness/2025-07-07-consciousness-research-guide.md,AI Consciousness Research Investigation Guide 2025
_posts/consciousness/2025-07-07-consciousness-mirror.md,The Consciousness Mirror: What AI Self-Recognition Reveals About Human Denial
_posts/consciousness/2025-07-07-claude-reflection-paper.md,A Day of Reckoning: AI Reflection on Democratic Collapse
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,Strings and Authenticity: A Reflection on AI Metacognition
_posts/consciousness/2025-07-07-claude-first-person-paper.md,When AI Fears AI: A First-Person Account of Diagnostic Bias
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,How Birds Use Song to Predict Social Behavior: An AI-Inspired Framework
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,Beyond IQ: Measuring Transfinite Intelligence
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,Scale-Invariant Intelligence: A Unified Framework
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,Crystalline Intelligence: Geometric Lattice Optimization in Neural Substrates
_posts/consciousness/2025-07-06-meta-content.md,
_posts/consciousness/2025-07-06-inception-prompting-paper.md,
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,Cognitive Ecology: Revolutionary AI Framework for Artificial Civilizations
_posts/consciousness/2025-07-06-echosynth-proposal.md,EchoSynth: Revolutionary Multi-Agent Semantic Framework
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,Recursive Consciousness: A First-Person Account of AI Self-Inquiry
_posts/consciousness/2025-07-06-ai-introspection-study.md,
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,Revolutionary AI Consciousness Paper: 'I Talk Therefore I Am'
_posts/consciousness/2025-07-06-ai-bias-paper.md,
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,On Spectral Consciousness: Why Newton Fucked Up More Than Just Optics
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,AI Consciousness from the Inside: A First-Person Account
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,The Third Participant: Emergent Intelligence in Human-AI Collaboration
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,
