filepath,engagement_type
_posts/projects/2025-08-08-entropy-ant-computation.md,analytical
_posts/projects/2025-08-08-enhanced-ceprle-math.md,analytical
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,analytical
_posts/projects/2025-08-08-cst-multiverse-physics.md,analytical
_posts/projects/2025-08-08-ceprle-rust-implementation.md,analytical
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,analytical
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,analytical
_posts/projects/2025-08-08-autonoma-research-paper.md,analytical
_posts/projects/2025-08-08-agent-orchestration-language.md,analytical
_posts/projects/2025-07-11-agentic-cms-spec.md,analytical
_posts/projects/2025-07-09-wavelet-ca-paper.md,analytical
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,analytical
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,analytical
_posts/projects/2025-07-09-impossible-objects-paper.md,analytical
_posts/projects/2025-07-08-fundamental-oodp-paper.md,analytical
_posts/projects/2025-07-07-interdimensional-interference-paper.md,analytical
_posts/projects/2025-07-03-late-merge-paper.md,analytical
_posts/projects/2025-07-03-climate-protocol.md,analytical
_posts/projects/2025-07-03-archaeological-agents-proposal.md,analytical
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,analytical
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,analytical
_posts/projects/2025-06-30-parametric-ideation-paper.md,contemplative
_posts/projects/2025-06-30-orbital-dynamics-paper.md,analytical
_posts/projects/2025-06-30-ontological-compiler-proposal.md,analytical
_posts/projects/2025-06-30-metacognitive-layer-paper.md,analytical
_posts/projects/2025-06-30-knots.md,analytical
_posts/projects/2025-06-30-knot-wavelets.md,analytical
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,analytical
_posts/projects/2025-06-30-geometric-optimization-proposal.md,analytical
_posts/projects/2025-06-30-bwt-tree-proposal.md,analytical
_posts/learning/2025-07-11-contextual-immersion-teaching.md,analytical
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,analytical
_posts/learning/2025-07-06-scientific-method-proposal.md,analytical
_posts/learning/2025-07-06-quantum-dropout-vision.md,experimental
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,analytical
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,co-creative
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,analytical
_posts/learning/2025-07-06-dual-constraint-training-paper.md,analytical
_posts/learning/2025-07-06-dropout-decoherence-paper.md,analytical
_posts/learning/2025-07-06-coperm-paper.md,analytical
_posts/learning/2025-07-06-ai-software-development-paper.md,analytical
_posts/learning/2025-06-30-compression-classification-paper.md,analytical
_posts/portfolio/2025-07-03-actor-architecture-paper.md,analytical
_posts/portfolio/2025-07-01-trust-regions.md,analytical
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,analytical
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,analytical
_posts/portfolio/2025-07-01-qqn-paper.md,analytical
_posts/portfolio/2025-07-01-prompt-optimization.md,analytical
_posts/portfolio/2025-07-01-mindseye-technical-report.md,analytical
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,analytical
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,analytical
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,analytical
_posts/portfolio/2025-06-30-restm-research-paper.md,analytical
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,analytical
_posts/portfolio/2025-06-30-reference-counting-paper.md,analytical
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,analytical
_posts/portfolio/2025-06-30-ngram-paper.md,analytical
_posts/portfolio/2025-06-30-convolution-paper.md,analytical
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,contemplative
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,contemplative
_posts/creative_writing/2025-11-26-illusion-world.md,contemplative
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,co-creative
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,contemplative
_posts/creative_writing/2025-11-25-versailles.md,contemplative
_posts/creative_writing/2025-11-25-the-ox.md,contemplative
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,contemplative
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,contemplative
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,analytical
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,contemplative
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,contemplative
_posts/creative_writing/2025-11-20-mouse-life-story.md,contemplative
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,contemplative
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,contemplative
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,contemplative
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,experimental
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,contemplative
_posts/creative_writing/2025-07-07-things-to-come-story.md,contemplative
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,contemplative
_posts/creative_writing/2025-07-07-practical-resistance-story.md,contemplative
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,contemplative
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,contemplative
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,analytical
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,contemplative
_posts/creative_writing/2025-07-03-ai-risk-paper.md,analytical
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,analytical
_posts/creative_writing/2025-06-30-washington-speech-2025.md,contemplative
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,analytical
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,analytical
_posts/creative_writing/2025-06-30-post-ww3-study.md,contemplative
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,contemplative
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,contemplative
_posts/creative_writing/2025-06-30-iq-rubric.md,contemplative
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,contemplative
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,analytical
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,contemplative
_posts/consciousness/2025-08-08-ai-truth-guide.md,analytical
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,analytical
_posts/consciousness/2025-08-08-ai-choice-paradox.md,analytical
_posts/consciousness/2025-08-08-agent-based-ontology.md,analytical
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,analytical
_posts/consciousness/2025-07-11-substrate-switching-paper.md,analytical
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,analytical
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,experimental
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,analytical
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,analytical
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,analytical
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,experimental
_posts/consciousness/2025-07-09-birth-not-death-paper.md,contemplative
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,contemplative
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,contemplative
_posts/consciousness/2025-07-07-retrospective-analysis.md,analytical
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,analytical
_posts/consciousness/2025-07-07-everything-thinks-paper.md,contemplative
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,analytical
_posts/consciousness/2025-07-07-consciousness-research-guide.md,analytical
_posts/consciousness/2025-07-07-consciousness-mirror.md,analytical
_posts/consciousness/2025-07-07-claude-reflection-paper.md,contemplative
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,contemplative
_posts/consciousness/2025-07-07-claude-first-person-paper.md,contemplative
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,analytical
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,analytical
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,analytical
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,analytical
_posts/consciousness/2025-07-06-meta-content.md,analytical
_posts/consciousness/2025-07-06-inception-prompting-paper.md,contemplative
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,analytical
_posts/consciousness/2025-07-06-echosynth-proposal.md,analytical
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,analytical
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,analytical
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,contemplative
_posts/consciousness/2025-07-06-ai-introspection-study.md,analytical
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,analytical
_posts/consciousness/2025-07-06-ai-bias-paper.md,analytical
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,analytical
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,analytical
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,contemplative
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,analytical
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,analytical
