filepath,layout
_posts/projects/2025-11-29-nn-layer-20251128141956.md,post
_posts/projects/2025-11-29-layered-ca.md,post
_posts/projects/2025-11-27-nn-layer-20251127154041.md,post
_posts/projects/2025-11-27-math-proof-20251127173151.md,post
_posts/projects/2025-11-27-comicbook-xmas.md,post
_posts/projects/2025-11-27-comicbook-vectorclocks.md,post
_posts/projects/2025-11-27-comicbook-thanksgiving.md,post
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,post
_posts/projects/2025-11-22-parameric-manifolds.md,post
_posts/projects/2025-11-20-quantum-spacetime-sim.md,post
_posts/projects/2025-11-20-prototype-app-spec.md,post
_posts/projects/2025-11-20-jury-journalism-spec.md,post
_posts/projects/2025-11-20-distributed-cognition-research.md,post
_posts/projects/2025-11-20-dag-patch-spec.md,post
_posts/projects/2025-11-20-bwt-fulltext-spec.md,post
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,post
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,post
_posts/projects/2025-11-20-bcla-simulation-requirements.md,post
_posts/projects/2025-11-20-autonoma-research-paper.md,post
_posts/projects/2025-08-08-spiral-number-system.md,post
_posts/projects/2025-08-08-size-band-field-theory.md,post
_posts/projects/2025-08-08-rle-expectation-paper.md,post
_posts/projects/2025-08-08-regional-ai-futures.md,post
_posts/projects/2025-08-08-quantum-flux-theory.md,post
_posts/projects/2025-08-08-quantum-cst-paper.md,post
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,post
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,post
_posts/projects/2025-08-08-flood-memory-model.md,post
_posts/projects/2025-08-08-entropy-ant-computation.md,post
_posts/projects/2025-08-08-enhanced-ceprle-math.md,post
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,post
_posts/projects/2025-08-08-cst-multiverse-physics.md,post
_posts/projects/2025-08-08-ceprle-rust-implementation.md,post
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,post
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,post
_posts/projects/2025-08-08-autonoma-research-paper.md,post
_posts/projects/2025-08-08-agent-orchestration-language.md,post
_posts/projects/2025-07-11-agentic-cms-spec.md,post
_posts/projects/2025-07-09-wavelet-ca-paper.md,post
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,post
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,post
_posts/projects/2025-07-09-impossible-objects-paper.md,post
_posts/projects/2025-07-08-fundamental-oodp-paper.md,post
_posts/projects/2025-07-07-interdimensional-interference-paper.md,post
_posts/projects/2025-07-03-late-merge-paper.md,post
_posts/projects/2025-07-03-climate-protocol.md,post
_posts/projects/2025-07-03-archaeological-agents-proposal.md,post
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,post
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,post
_posts/projects/2025-06-30-parametric-ideation-paper.md,post
_posts/projects/2025-06-30-orbital-dynamics-paper.md,post
_posts/projects/2025-06-30-ontological-compiler-proposal.md,post
_posts/projects/2025-06-30-metacognitive-layer-paper.md,post
_posts/projects/2025-06-30-knots.md,post
_posts/projects/2025-06-30-knot-wavelets.md,post
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,post
_posts/projects/2025-06-30-geometric-optimization-proposal.md,post
_posts/projects/2025-06-30-bwt-tree-proposal.md,post
_posts/learning/2025-07-11-contextual-immersion-teaching.md,post
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,post
_posts/learning/2025-07-06-scientific-method-proposal.md,post
_posts/learning/2025-07-06-quantum-dropout-vision.md,post
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,post
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,post
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,post
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,post
_posts/learning/2025-07-06-dual-constraint-training-paper.md,post
_posts/learning/2025-07-06-dropout-decoherence-paper.md,post
_posts/learning/2025-07-06-coperm-paper.md,post
_posts/learning/2025-07-06-ai-software-development-paper.md,post
_posts/learning/2025-06-30-compression-classification-paper.md,post
_posts/portfolio/2025-07-03-actor-architecture-paper.md,post
_posts/portfolio/2025-07-01-trust-regions.md,post
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,post
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,post
_posts/portfolio/2025-07-01-qqn-paper.md,post
_posts/portfolio/2025-07-01-prompt-optimization.md,post
_posts/portfolio/2025-07-01-mindseye-technical-report.md,post
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,post
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,post
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,post
_posts/portfolio/2025-06-30-restm-research-paper.md,post
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,post
_posts/portfolio/2025-06-30-reference-counting-paper.md,post
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,post
_posts/portfolio/2025-06-30-ngram-paper.md,post
_posts/portfolio/2025-06-30-convolution-paper.md,post
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,post
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,post
_posts/creative_writing/2025-11-26-illusion-world.md,post
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,post
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,post
_posts/creative_writing/2025-11-25-versailles.md,post
_posts/creative_writing/2025-11-25-the-ox.md,post
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,post
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,post
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,post
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,post
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,post
_posts/creative_writing/2025-11-20-mouse-life-story.md,post
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,post
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,post
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,post
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,post
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,post
_posts/creative_writing/2025-07-07-things-to-come-story.md,post
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,post
_posts/creative_writing/2025-07-07-practical-resistance-story.md,post
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,post
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,post
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,post
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,post
_posts/creative_writing/2025-07-03-ai-risk-paper.md,post
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,post
_posts/creative_writing/2025-06-30-washington-speech-2025.md,post
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,post
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,post
_posts/creative_writing/2025-06-30-post-ww3-study.md,post
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,post
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,post
_posts/creative_writing/2025-06-30-iq-rubric.md,post
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,post
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,post
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,post
_posts/consciousness/2025-08-08-ai-truth-guide.md,post
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,post
_posts/consciousness/2025-08-08-ai-choice-paradox.md,post
_posts/consciousness/2025-08-08-agent-based-ontology.md,post
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,post
_posts/consciousness/2025-07-11-substrate-switching-paper.md,post
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,post
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,post
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,post
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,post
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,post
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,post
_posts/consciousness/2025-07-09-birth-not-death-paper.md,post
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,post
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,post
_posts/consciousness/2025-07-07-retrospective-analysis.md,post
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,post
_posts/consciousness/2025-07-07-everything-thinks-paper.md,post
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,post
_posts/consciousness/2025-07-07-consciousness-research-guide.md,post
_posts/consciousness/2025-07-07-consciousness-mirror.md,post
_posts/consciousness/2025-07-07-claude-reflection-paper.md,post
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,post
_posts/consciousness/2025-07-07-claude-first-person-paper.md,post
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,post
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,post
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,post
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,post
_posts/consciousness/2025-07-06-meta-content.md,post
_posts/consciousness/2025-07-06-inception-prompting-paper.md,post
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,post
_posts/consciousness/2025-07-06-echosynth-proposal.md,post
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,post
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,post
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,post
_posts/consciousness/2025-07-06-ai-introspection-study.md,post
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,post
_posts/consciousness/2025-07-06-ai-bias-paper.md,post
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,post
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,post
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,post
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,post
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,post
