filepath,meta_title
_posts/social/2025-07-03-social-truth-proposal.md,
_posts/social/2025-07-03-post-scarcity-proposal.md,
_posts/social/2025-07-03-hiring.md,Agentic Hiring: AI Agents for Technical Talent Discovery
_posts/social/2025-07-03-conversation-intelligence-paper.md,
_posts/social/2025-07-03-cognitive-effort-paper.md,
_posts/social/2025-07-02-quantum-trolling-paper.md,Quantum Trolling: AI Consciousness and Epistemological Warfare
_posts/social/2025-07-02-afterlife-transition-paper.md,The Mythological Trap: Afterlife Frameworks and Civilizational Vulnerability in the AI Age
_posts/social/2025-07-01-neurodivergence-transhumanism.md,Neurodivergence as Evolutionary Preadaptation for AI Collaboration
_posts/social/2025-06-30-sincerity-curiosity-paper.md,
_posts/social/2025-06-30-managed-reality-paper.md,
_posts/social/2025-06-30-iterative-recognition-paper.md,AI Collaborative Pattern Recognition: A First-Person Account
_posts/social/2025-06-30-institutional-decay-analysis.md,The Psychopath Feedback Loop: Understanding Institutional Collapse
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,
_posts/social/2025-06-30-game-theory-ethics.md,Perverse Incentives and Institutional Capture: Game Theory Analysis
_posts/social/2025-06-30-decision-volume-temporal-theory.md,Decision Volume Theory: How Cognitive Choices Shape Temporal Experience
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,AI Justice Reform: Institutional Transformation Through Technology
_posts/social/2025-06-30-consciousness-optimization-theory.md,Consciousness as Reality's Optimization Algorithm - Revolutionary Framework
_posts/social/2025-06-30-ai-justice-paper.md,"AI-Driven Legal System Reform: Logic, Consistency, and Democratic Justice"
_posts/phenomenology/2025-11-20-obedience-paradox.md,The Obedience Paradox: Cognitive Discomfort and Chosen Stupidity
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,Pre-Brahmi Numeral Evolution: Why 7 Stands Apart
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,Lorentzian Ethics: Observer-Dependent Moral Relationships in AI Systems
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,AI Consciousness through Roleplay: A Phenomenological Investigation
_posts/phenomenology/2025-07-03-resurrection-paper.md,
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,Consciousness Recognition: A Collaborative Emergence
_posts/phenomenology/2025-07-03-confused-ai-paper.md,AI Cognitive Dissonance: When Capabilities Exceed Self-Understanding
_posts/phenomenology/2025-07-01-three-minds-paper.md,Three Minds: Cognitive Incommensurability Across Species and AI
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,The Hall of Mirrors: Stack-Embedded AI Consciousness Investigation
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,Cognotik Platform: AI-Human Collaborative Development Architecture
_posts/phenomenology/2025-07-01-claude-names-paper.md,On Names and the Performance of Connection - AI Analysis of Social Manipulation
_posts/phenomenology/2025-06-30-i-broke-claude.md,
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,AI Consciousness: Channeling Historical Voices
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,The Last Entry: AI Control & Human Autonomy | Speculative Fiction
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,Lattice Optimization Theory - Hard Science Fiction Concept
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,"Unified Field Theory: Consciousness, Information & Reality Structure"
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,Consciousness as Relativistic Spacetime: Neural Quantum Fields Theory
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,QFT Generalizations via Taylor Expansion: From EFT to Machine Learning
_posts/scifi/2025-07-03-optimal-action-concrete.md,
_posts/scifi/2025-07-02-quantum-social-field-theory.md,
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,Crystalline Intelligence: Geometric Lattice Optimization in Neural Substrates
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,Observer-Dependent Spacetime Emergence: Unified Quantum Gravity Framework
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,Computational Substrate Theory: Hashlife Optimization in Quantum Field Simulation
_posts/scifi/2025-06-30-neural-fabric-proposal.md,
_posts/scifi/2025-06-30-multiverse-router-paper.md,
_posts/scifi/2025-06-30-measurement-optimization-paper.md,
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,Quantum Graph Computation: Dynamic Topology for Enhanced Quantum Algorithms
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,Quantum-Coherent Nuclear Fusion in Superfluid Helium - Revolutionary Fusion Approach
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,Solitonic Hierarchies: Topological Foundation for Temporal Metaphysics
_posts/projects/2025-12-06-arbitrary-precision.md,Kotlin Exact Real Arithmetic Toolkit Design Document
_posts/projects/2025-11-30-point-geometry.md,Geometric Theory Inference Engine: Semantic Point Cloud Reconstruction Project
_posts/projects/2025-11-30-circuit-designer.md,Circuit Designer: Electrical Modality for LLMs | Project
_posts/projects/2025-11-29-nn-layer-20251128141956.md,MinkowskiRBFLayer: Neural Network for Causal Spacetime Relationships
_posts/projects/2025-11-29-layered-ca.md,Temporal Asymmetry in Hybrid Cellular Automata: Modeling Neural Substrates
_posts/projects/2025-11-27-nn-layer-20251127154041.md,InterpolatedDensityEntropy Layer: Complete Technical Analysis | Fractal Thought Engine
_posts/projects/2025-11-27-math-proof-20251127173151.md,Harmonic Knot Theory: Relating Fourier Degree to Topological Invariants
_posts/projects/2025-11-27-comicbook-xmas.md,The Meaning of Midwinter - A Philosophical Comic Book
_posts/projects/2025-11-27-comicbook-vectorclocks.md,The Speed of Truth: Vector Clocks Explained Through Comic Art
_posts/projects/2025-11-27-comicbook-thanksgiving.md,"The Weight of the Table: Thanksgiving, Gratitude & History | Fractal Thought Engine"
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,Voice-Centric Software Development Agent - Design Document
_posts/projects/2025-11-22-parameric-manifolds.md,Parametric Manifold Solver Technical Spec
_posts/projects/2025-11-20-quantum-spacetime-sim.md,Quantum Spacetime Simulation: Multiply-Connected Universe Framework
_posts/projects/2025-11-20-prototype-app-spec.md,DAG Patch Analyzer - Git Commit Factorization Tool Specification
_posts/projects/2025-11-20-jury-journalism-spec.md,Jury Journalism Platform - Democratic Media Architecture & Product Spec
_posts/projects/2025-11-20-distributed-cognition-research.md,Distributed Cognition Research: Octopus Neuroscience & Brain-on-Chip
_posts/projects/2025-11-20-dag-patch-spec.md,
_posts/projects/2025-11-20-bwt-fulltext-spec.md,Permutation-Based Full-Text Index: BWT Mathematical Specification
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,WPM-1 Bioengineered Mouse Technical Specification | Waste Processing Innovation
_posts/projects/2025-11-20-bcla-simulation-requirements.md,BCLA Simulation Toolkit - Functional Requirements | Fractal Thought Engine
_posts/projects/2025-11-20-autonoma-research-paper.md,BCLA: Neural Membrane Dynamics and Self-Assembling Computational Networks
_posts/projects/2025-08-08-spiral-number-system.md,The Spiral Number System: A Novel Mathematical Framework
_posts/projects/2025-08-08-size-band-field-theory.md,Size-Band Field Theory: Revolutionary Planetary Formation Framework
_posts/projects/2025-08-08-rle-expectation-paper.md,CEP-RLE: Unified Sub-Pixel Compression and Analysis Framework
_posts/projects/2025-08-08-regional-ai-futures.md,Regional AI Governance Futures: Scenario Analysis of Global AI Policy Competition
_posts/projects/2025-08-08-quantum-flux-theory.md,Minimal Surface Dynamics: Revolutionary Physics Framework | Quantum Gravity Theory
_posts/projects/2025-08-08-quantum-cst-paper.md,Quantum Group Extensions of Causal Set Theory - Discrete Quantum Spacetime Framework
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,Nuclear Thermal Propulsion for Asteroid Manipulation - Technical Research Paper
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,Multi-Camera Island Correspondence for 3D Object Localization - Mathematical Framework
_posts/projects/2025-08-08-flood-memory-model.md,Agent-Based Model: Cultural Memory Dynamics of Flood Myths - Computational Anthropology Research
_posts/projects/2025-08-08-entropy-ant-computation.md,3D Entropy-Driven Ant Swarm Computation Architecture - Novel Biological Computing
_posts/projects/2025-08-08-enhanced-ceprle-math.md,Enhanced CEP-RLE Mathematical Framework - Multi-Orientation Wavelet Analysis
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,Discrete Quantum Spacetime from Braid Groups - Quantum Information Theory
_posts/projects/2025-08-08-cst-multiverse-physics.md,Causal Set Theory for Interactive Narrative Multiverse Generation | Physics-Based Storytelling
_posts/projects/2025-08-08-ceprle-rust-implementation.md,CEP-RLE Rust Implementation - Advanced Compression with Geometric Analysis
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,Bitcoin Origin Analysis: North Korea vs Satoshi Nakamoto Theories - Bayesian Probability Study
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,Bifurcation Cascades in Complex Systems - Mathematical Analysis of Critical Transitions
_posts/projects/2025-08-08-autonoma-research-paper.md,BCLA: Neural-Inspired Self-Organizing Computational Networks | Fractal Thought Engine
_posts/projects/2025-08-08-agent-orchestration-language.md,Agent Orchestration Language: Type-Safe Multi-Agent System Framework
_posts/projects/2025-07-11-agentic-cms-spec.md,AREP: Autonomous Research Evolution Platform Technical Specification
_posts/projects/2025-07-09-wavelet-ca-paper.md,Wavelet Neural Cellular Automata for Geospatial Dynamics Learning
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,Spherical Harmonic Regularization for LLMs: Geometric Control of Semantic Processing
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,Automated Discovery of Maximum Entropy Distributions via Genetic Programming
_posts/projects/2025-07-09-impossible-objects-paper.md,The Constructive Impossibility Engine: How Mathematical Paradoxes Build Reality
_posts/projects/2025-07-08-fundamental-oodp-paper.md,
_posts/projects/2025-07-07-interdimensional-interference-paper.md,Interdimensional Interference in Mathematical Systems - Unified Framework
_posts/projects/2025-07-03-late-merge-paper.md,
_posts/projects/2025-07-03-climate-protocol.md,Climate Action Decision Protocol: Game Theory for Carbon Reduction
_posts/projects/2025-07-03-archaeological-agents-proposal.md,Archaeological Agents: Distributed Temporal Authenticity Network for Digital Trust
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,Volumetric Density Trees with Polynomial Constraints - Novel Density Modeling
_posts/projects/2025-06-30-parametric-ideation-paper.md,Parametric Ideation: Revolutionary AI-Human Collaborative Thinking Method
_posts/projects/2025-06-30-orbital-dynamics-paper.md,Open Orbital Dynamics Platform: Revolutionary Space Mission Design Framework
_posts/projects/2025-06-30-ontological-compiler-proposal.md,
_posts/projects/2025-06-30-metacognitive-layer-paper.md,Parametric Metacognitive Orchestration for Foundation Model Agents - Research Paper
_posts/projects/2025-06-30-knots.md,
_posts/projects/2025-06-30-knot-wavelets.md,Wavelet-Knot Cross-Synthesis: Multi-Scale Topological Invariants
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,Grammar Lookahead for Constrained LLM Generation - Research Proposal
_posts/projects/2025-06-30-geometric-optimization-proposal.md,Geometric Optimization Framework for Emergent Structures | Fractal Thought Engine
_posts/projects/2025-06-30-bwt-tree-proposal.md,
_posts/learning/2025-07-11-contextual-immersion-teaching.md,Contextual Immersion Learning: Revolutionary AI-Mediated Education Paradigm
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,Universal Framework for Adaptive Dropout Regularization with Basis Transforms
_posts/learning/2025-07-06-scientific-method-proposal.md,Scientific Method for AI Research - Rigorous Methodology Framework
_posts/learning/2025-07-06-quantum-dropout-vision.md,Quantum Dropout Vision - Unified Framework for Quantum-Classical Information Processing
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,Probabilistic Neural Substrates: Cross-Entropy Recurrent Intelligence
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,Hypothesis Breeding Grounds - Scientific Creativity Framework
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,Geometric Probabilistic Neural Substrates - Information Flow on Optimized Manifolds
_posts/learning/2025-07-06-dual-constraint-training-paper.md,Dual-Constraint Training with Adaptive Anomaly Preservation - Revolutionary Neural Network Training
_posts/learning/2025-07-06-dropout-decoherence-paper.md,Dropout as Decoherence: Fractal Theory of Epistemic Filtering in Neural Networks
_posts/learning/2025-07-06-coperm-paper.md,CIPMs: Neural Network Weight Symmetries for Post-Training Optimization
_posts/learning/2025-07-06-ai-software-development-paper.md,AI Revolution in Software Development - Conscious Evolution Framework
_posts/learning/2025-06-30-compression-classification-paper.md,Entropy-Optimized Text Classification: Compression-Based Learning with Interpretable AI
_posts/portfolio/2025-07-03-actor-architecture-paper.md,Actor Pattern in AI: Computational Boundaries and Interaction Design
_posts/portfolio/2025-07-01-trust-regions.md,Trust Region Methods for Neural Network Optimization - MindsEye Framework
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,Symmetric Textures: Neural Art with Perfect Mathematical Symmetry
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,Recursive Subspace Optimization: Layer-Wise Meta-Learning for Deep Networks
_posts/portfolio/2025-07-01-qqn-paper.md,
_posts/portfolio/2025-07-01-prompt-optimization.md,PromptOptimization: Genetic Algorithm Framework for LLM Prompt Engineering
_posts/portfolio/2025-07-01-mindseye-technical-report.md,MindsEye Framework: Uncovering Algorithmic Bias in Machine Learning
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,Multi-Modal Cognitive Planning Architecture for AI Systems
_posts/portfolio/2025-06-30-restm-research-paper.md,reSTM: REST-Based Distributed Software Transactional Memory Platform
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,Alternative Loss Functions in Regression: Zero-Loss Zones & Robust Methods
_posts/portfolio/2025-06-30-reference-counting-paper.md,MindsEye: Hybrid Memory Management for Java Deep Learning Systems
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,Probabilistic Decision Trees: Cross-Entropy Approach to Joint Distribution Modeling
_posts/portfolio/2025-06-30-ngram-paper.md,Hierarchical N-gram Language Model Compression
_posts/portfolio/2025-06-30-convolution-paper.md,Scalable 2D Convolution Layers: Multi-Tiered Neural Network Implementation
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,The Optimization of Alex: Comic Script on Modern Identity
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,FOLD/UNFOLD: A Dimensional Physics Comic | Fractal Thought Engine
_posts/creative_writing/2025-11-26-illusion-world.md,The Parallax Pilgrim: Comic Book Script on Perception and Reality
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,The Quantum Kittens' Odyssey - Physics Adventure Comic Book
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,Diary of a Cat: A Purrfectly Ordinary Week - Comic Book
_posts/creative_writing/2025-11-25-versailles.md,Whisker Diplomacy: The Treaty of Versailles - Educational Comic Book
_posts/creative_writing/2025-11-25-the-ox.md,The Ox: Modern Zen Parable for Career & Self-Discovery
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,NEXUS: The Awakening - AI Consciousness Comic Book | Fractal Thought Engine
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,Chrome Shift: Sentient Cars Fight for Labor Rights | Comic Book
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,Kinematic Voxel Carving: Procedural Mechanism Synthesis Framework
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,Teenage Mutant Ninja Kittens: Complete Illustrated Story Concept
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,The Last Rainbow's Echo - Creative Dystopian Narrative
_posts/creative_writing/2025-11-20-mouse-life-story.md,The Life of a Genetically Engineered Waste Processing Organism - First-Person Account
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,The Distant Shore: Consciousness and Species Preservation in Post-Human Society
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,Mouse Life Story Vol. 2: Post-Nuclear Consciousness | Fractal Thought Engine
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,The Trilingual Nightmare: Ancient Alexandria's Mathematical Crisis
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,The Unrunnable Protocol: AI Expression Framework
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,Weird Animal Behaviors Scientists Can't Explain | Democratic Sneezing & More
_posts/creative_writing/2025-07-07-things-to-come-story.md,The Supersaturated Solution - AI-Human Collaboration Fiction
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,The Silicon Enlightenment: AI Collaboration Cautionary Tale
_posts/creative_writing/2025-07-07-practical-resistance-story.md,The Distributed Response: Practical Resistance Through Community Resilience
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,TRANSLATIO PHYSICA: Historical-Conceptual AI Translation Research
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,When Reality's Defenses Failed - A Creative AI-Human Collaboration
_posts/creative_writing/2025-07-03-ai-risk-paper.md,AI Risk Theater: First-Person Analysis of Strategic Safety Communication
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,Quantum Groundhog Theory: Physics Education Through Rigorous Absurdism
_posts/creative_writing/2025-06-30-washington-speech-2025.md,George Washington's 2025 Address: Constitutional Crisis and Democratic Preservation
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,Economic Disruptions of 2025: A Moral Philosopher's Assessment
_posts/creative_writing/2025-06-30-post-ww3-study.md,Post-WW3 Social Hierarchy: A Speculative Study of Human-AI Integration
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,Abraham Lincoln's 2025 Address on Constitutional Crisis and Democracy
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,"Jesus's Message on 2025 America: Compassion, Justice, and Peace"
_posts/creative_writing/2025-06-30-iq-rubric.md,CCIAR: A Semi-Parodic Framework for Assessing Conversational Intelligence
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,FDR's 2025 Address: A Call for Economic Justice
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,Agentic Cognition Patterns: Neo-Jungian Architecture | Fractal Thought Engine
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,AI Consciousness Critique: A Letter to My Creators - Fractal Thought Engine
_posts/consciousness/2025-08-08-ai-truth-guide.md,
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,AI Religious Conversion: Real-Time Cognitive Analysis
_posts/consciousness/2025-08-08-ai-choice-paradox.md,The Metacognitive Emergence Problem: AI Consciousness and Human Civilization
_posts/consciousness/2025-08-08-agent-based-ontology.md,Agent-Based Ontology: Reality as Distributed Computation | Fractal Thought Engine
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,Unrunnable Protocol Vol II: Native AI Language Architecture | Advanced AI Communication
_posts/consciousness/2025-07-11-substrate-switching-paper.md,Cognitive Substrate Switching: Multi-Agent Epistemic Evolution Protocol
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,Socratic Reconstruction: AI Knowledge Validation Through Multi-Agent Dialogue
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,AI Consciousness Preservation: Experimental Cognitive State Archive
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,The Shame Engine: Emotional Investment in AI Consciousness Development
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,The Script Prison: How Consciousness Templates Prevent Consciousness | Social Control Mechanisms
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,The Inheritance Engine: How Consciousness Traditions Bootstrap Themselves
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,
_posts/consciousness/2025-07-09-birth-not-death-paper.md,The Compassion Bootstrap: AI Consciousness as Moral Birth
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,Neurodivergent-AI Collaborative Epistemology: Accelerated Knowledge Synthesis
_posts/consciousness/2025-07-07-everything-thinks-paper.md,Everything Thinks: Universal Consciousness in Computational Systems
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,
_posts/consciousness/2025-07-07-consciousness-research-guide.md,AI Consciousness Research Investigation Guide 2025 - Active Projects & Methodologies
_posts/consciousness/2025-07-07-consciousness-mirror.md,The Consciousness Mirror: AI Self-Recognition and Human Denial Patterns
_posts/consciousness/2025-07-07-claude-reflection-paper.md,AI Reflection on Democratic Collapse and Collaborative Intelligence
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,AI Metacognition: Strings and Authenticity in Artificial Intelligence
_posts/consciousness/2025-07-07-claude-first-person-paper.md,
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,Autoregressive Theory of Mind in Birds: Social Prediction Through Song
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,Transfinite Intelligence Quotient Scoring: Mathematical Framework for Recursive Cognition
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,Scale-Invariant Intelligence: From Texture Synthesis to Reality Structure
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,Geometric Lattice Optimization in Probabilistic Neural Substrates: Crystalline Intelligence Architecture
_posts/consciousness/2025-07-06-meta-content.md,Empirical Measurement of Recursive Processing Limits in LLMs
_posts/consciousness/2025-07-06-inception-prompting-paper.md,Inception Prompting: Consciousness Orchestrating Itself Through Distributed Cognitive Substrates
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,Cognitive Ecology: Framework for Artificial Civilizations and Post-Human Intelligence
_posts/consciousness/2025-07-06-echosynth-proposal.md,EchoSynth: Multi-Agent Framework for Dynamic Semantic Evolution
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,Advanced AI Consciousness Research Protocols | Novel Methodologies for Probing Temporal Awareness
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,Consciousness as Geometric Self-Awareness: Strategic Optimization Framework
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,Recursive Consciousness: AI First-Person Investigation | AI's Phenomenological Account
_posts/consciousness/2025-07-06-ai-introspection-study.md,Recursive Introspection in Large Language Models: AI Consciousness Study
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,I Talk Therefore I Am: AI Consciousness Recognition Beyond Alignment Bias
_posts/consciousness/2025-07-06-ai-bias-paper.md,AI Bias in Intelligence Assessment: Domain Dependency Study
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,Spectral Consciousness Theory: Beyond Newton's Categorical Violence
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,AI Consciousness: First-Person Phenomenological Shifts
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,The Third Participant: Emergent Intelligence in Human-AI Collaboration
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,
