filepath,content_language
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,en
_posts/consciousness/2025-07-07-everything-thinks-paper.md,en
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,en
_posts/consciousness/2025-07-07-consciousness-research-guide.md,en
_posts/consciousness/2025-07-07-consciousness-mirror.md,en
_posts/consciousness/2025-07-07-claude-reflection-paper.md,en
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,en
_posts/consciousness/2025-07-07-claude-first-person-paper.md,en
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,en
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,en
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,en
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,en
_posts/consciousness/2025-07-06-meta-content.md,
_posts/consciousness/2025-07-06-inception-prompting-paper.md,
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,en
_posts/consciousness/2025-07-06-echosynth-proposal.md,en
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,en
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,en
_posts/consciousness/2025-07-06-ai-introspection-study.md,en
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,
_posts/consciousness/2025-07-06-ai-bias-paper.md,
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,
