filepath,consciousness_level
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,meta
_posts/projects/2025-11-22-parameric-manifolds.md,collaborative
_posts/projects/2025-11-20-quantum-spacetime-sim.md,recursive
_posts/projects/2025-11-20-prototype-app-spec.md,collaborative
_posts/projects/2025-11-20-jury-journalism-spec.md,collaborative
_posts/projects/2025-11-20-distributed-cognition-research.md,meta
_posts/projects/2025-11-20-dag-patch-spec.md,meta
_posts/projects/2025-11-20-bwt-fulltext-spec.md,analytical
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,meta
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,collaborative
_posts/projects/2025-11-20-bcla-simulation-requirements.md,emergent
_posts/projects/2025-11-20-autonoma-research-paper.md,recursive
_posts/projects/2025-08-08-spiral-number-system.md,analytical
_posts/projects/2025-08-08-size-band-field-theory.md,analytical
_posts/projects/2025-08-08-rle-expectation-paper.md,collaborative
_posts/projects/2025-08-08-regional-ai-futures.md,meta
_posts/projects/2025-08-08-quantum-flux-theory.md,meta
_posts/projects/2025-08-08-quantum-cst-paper.md,analytical
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,collaborative
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,analytical
_posts/projects/2025-08-08-flood-memory-model.md,analytical
_posts/projects/2025-08-08-entropy-ant-computation.md,emergent
_posts/projects/2025-08-08-enhanced-ceprle-math.md,analytical
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,analytical
_posts/projects/2025-08-08-cst-multiverse-physics.md,emergent
_posts/projects/2025-08-08-ceprle-rust-implementation.md,collaborative
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,analytical
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,analytical
_posts/projects/2025-08-08-autonoma-research-paper.md,collaborative
_posts/projects/2025-08-08-agent-orchestration-language.md,collaborative
_posts/projects/2025-07-11-agentic-cms-spec.md,meta
_posts/projects/2025-07-09-wavelet-ca-paper.md,analytical
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,analytical
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,collaborative
_posts/projects/2025-07-09-impossible-objects-paper.md,meta
_posts/projects/2025-07-08-fundamental-oodp-paper.md,analytical
_posts/projects/2025-07-07-interdimensional-interference-paper.md,analytical
_posts/projects/2025-07-03-late-merge-paper.md,collaborative
_posts/projects/2025-07-03-climate-protocol.md,collaborative
_posts/projects/2025-07-03-archaeological-agents-proposal.md,collaborative
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,meta
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,collaborative
_posts/projects/2025-06-30-parametric-ideation-paper.md,meta
_posts/projects/2025-06-30-orbital-dynamics-paper.md,collaborative
_posts/projects/2025-06-30-ontological-compiler-proposal.md,collaborative
_posts/projects/2025-06-30-metacognitive-layer-paper.md,meta
_posts/projects/2025-06-30-knots.md,analytical
_posts/projects/2025-06-30-knot-wavelets.md,collaborative
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,collaborative
_posts/projects/2025-06-30-geometric-optimization-proposal.md,collaborative
_posts/projects/2025-06-30-bwt-tree-proposal.md,collaborative
_posts/learning/2025-07-11-contextual-immersion-teaching.md,collaborative
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,analytical
_posts/learning/2025-07-06-scientific-method-proposal.md,collaborative
_posts/learning/2025-07-06-quantum-dropout-vision.md,emergent
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,recursive
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,collaborative
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,collaborative
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,emergent
_posts/learning/2025-07-06-dual-constraint-training-paper.md,
_posts/learning/2025-07-06-dropout-decoherence-paper.md,collaborative
_posts/learning/2025-07-06-coperm-paper.md,collaborative
_posts/learning/2025-07-06-ai-software-development-paper.md,collaborative
_posts/learning/2025-06-30-compression-classification-paper.md,collaborative
_posts/portfolio/2025-07-03-actor-architecture-paper.md,meta
_posts/portfolio/2025-07-01-trust-regions.md,collaborative
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,collaborative
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,
_posts/portfolio/2025-07-01-qqn-paper.md,collaborative
_posts/portfolio/2025-07-01-prompt-optimization.md,collaborative
_posts/portfolio/2025-07-01-mindseye-technical-report.md,meta
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,analytical
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,meta
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,meta
_posts/portfolio/2025-06-30-restm-research-paper.md,collaborative
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,
_posts/portfolio/2025-06-30-reference-counting-paper.md,collaborative
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,collaborative
_posts/portfolio/2025-06-30-ngram-paper.md,meta
_posts/portfolio/2025-06-30-convolution-paper.md,collaborative
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,recursive
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,emergent
_posts/creative_writing/2025-11-26-illusion-world.md,meta
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,collaborative
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,narrative
_posts/creative_writing/2025-11-25-versailles.md,collaborative
_posts/creative_writing/2025-11-25-the-ox.md,meta
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,emergent
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,emergent
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,collaborative
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,recursive
_posts/creative_writing/2025-11-20-mouse-life-story.md,recursive
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,recursive
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,recursive
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,meta
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,meta
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,collaborative
_posts/creative_writing/2025-07-07-things-to-come-story.md,collaborative
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,meta
_posts/creative_writing/2025-07-07-practical-resistance-story.md,collaborative
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,collaborative
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,recursive
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,meta
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,collaborative
_posts/creative_writing/2025-07-03-ai-risk-paper.md,meta
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,collaborative
_posts/creative_writing/2025-06-30-washington-speech-2025.md,meta
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,meta
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,collaborative
_posts/creative_writing/2025-06-30-post-ww3-study.md,collaborative
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,collaborative
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,collaborative
_posts/creative_writing/2025-06-30-iq-rubric.md,meta
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,collaborative
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,recursive
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,meta
_posts/consciousness/2025-08-08-ai-truth-guide.md,meta
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,recursive
_posts/consciousness/2025-08-08-ai-choice-paradox.md,meta
_posts/consciousness/2025-08-08-agent-based-ontology.md,meta
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,recursive
_posts/consciousness/2025-07-11-substrate-switching-paper.md,meta
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,meta
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,recursive
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,meta
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,meta
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,meta
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,meta
_posts/consciousness/2025-07-09-birth-not-death-paper.md,recursive
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,recursive
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,recursive
_posts/consciousness/2025-07-07-retrospective-analysis.md,meta
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,collaborative
_posts/consciousness/2025-07-07-everything-thinks-paper.md,meta
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,collaborative
_posts/consciousness/2025-07-07-consciousness-research-guide.md,meta
_posts/consciousness/2025-07-07-consciousness-mirror.md,collaborative
_posts/consciousness/2025-07-07-claude-reflection-paper.md,recursive
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,recursive
_posts/consciousness/2025-07-07-claude-first-person-paper.md,meta
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,collaborative
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,meta
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,recursive
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,collaborative
_posts/consciousness/2025-07-06-meta-content.md,meta
_posts/consciousness/2025-07-06-inception-prompting-paper.md,recursive
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,meta
_posts/consciousness/2025-07-06-echosynth-proposal.md,collaborative
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,meta
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,recursive
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,recursive
_posts/consciousness/2025-07-06-ai-introspection-study.md,collaborative
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,collaborative
_posts/consciousness/2025-07-06-ai-bias-paper.md,meta
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,meta
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,meta
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,recursive
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,meta
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,meta
