filepath,schema_image
_posts/projects/2025-08-08-autonoma-research-paper.md,
_posts/projects/2025-08-08-agent-orchestration-language.md,
_posts/projects/2025-07-11-agentic-cms-spec.md,
_posts/projects/2025-07-09-wavelet-ca-paper.md,
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,
_posts/projects/2025-07-09-impossible-objects-paper.md,/assets/images/impossible-objects-schema.png
_posts/projects/2025-07-08-fundamental-oodp-paper.md,
_posts/projects/2025-07-07-interdimensional-interference-paper.md,/assets/images/interdimensional-interference-schema.png
_posts/projects/2025-07-03-late-merge-paper.md,
_posts/projects/2025-07-03-climate-protocol.md,
_posts/projects/2025-07-03-archaeological-agents-proposal.md,/assets/images/archaeological-agents-schema.png
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,
_posts/projects/2025-06-30-parametric-ideation-paper.md,/assets/images/parametric-ideation-schema.png
_posts/projects/2025-06-30-orbital-dynamics-paper.md,../../assets/images/orbit_platform.png
_posts/projects/2025-06-30-ontological-compiler-proposal.md,
_posts/projects/2025-06-30-metacognitive-layer-paper.md,
_posts/projects/2025-06-30-knots.md,
_posts/projects/2025-06-30-knot-wavelets.md,/assets/images/knot-wavelets-synthesis.png
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,
_posts/projects/2025-06-30-geometric-optimization-proposal.md,/assets/images/geometric-optimization-schema.png
_posts/projects/2025-06-30-bwt-tree-proposal.md,
_posts/learning/2025-07-11-contextual-immersion-teaching.md,/assets/images/contextual-immersion-learning-schema.png
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,
_posts/learning/2025-07-06-scientific-method-proposal.md,/assets/images/scientific_method_ai.png
_posts/learning/2025-07-06-quantum-dropout-vision.md,/assets/images/quantum_dropout_vision.png
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,../../assets/images/pns.png
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,/assets/images/hypothesis_breeding_schema.png
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,/assets/images/geometric_probabilistic_neural_substrate.png
_posts/learning/2025-07-06-dual-constraint-training-paper.md,
_posts/learning/2025-07-06-dropout-decoherence-paper.md,
_posts/learning/2025-07-06-coperm-paper.md,/assets/images/coperm_schema.png
_posts/learning/2025-07-06-ai-software-development-paper.md,/assets/images/ai_software_transformation.png
_posts/learning/2025-06-30-compression-classification-paper.md,
_posts/portfolio/2025-07-03-actor-architecture-paper.md,
_posts/portfolio/2025-07-01-trust-regions.md,
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,
_posts/portfolio/2025-07-01-qqn-paper.md,/assets/images/qqn-schema-image.png
_posts/portfolio/2025-07-01-prompt-optimization.md,/assets/images/prompt-optimization-schema.png
_posts/portfolio/2025-07-01-mindseye-technical-report.md,
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,/assets/images/cognitive-planning-architecture.png
_posts/portfolio/2025-06-30-restm-research-paper.md,
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,
_posts/portfolio/2025-06-30-reference-counting-paper.md,/assets/images/mindseye-schema.png
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,
_posts/portfolio/2025-06-30-ngram-paper.md,
_posts/portfolio/2025-06-30-convolution-paper.md,
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,/assets/images/dates/page_1_row_1.png
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,/assets/images/folds/page_1_row_1.png
_posts/creative_writing/2025-11-26-illusion-world.md,../../assets/images/parpil/page_1_row_1.png
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,/assets/images/quantumkitten/page_1_row_1.png
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,../../assets/images/diarykitten/page_1_row_1.png
_posts/creative_writing/2025-11-25-versailles.md,/assets/images/VERSAILLES/page_1_row_1.png
_posts/creative_writing/2025-11-25-the-ox.md,/assets/images/ox/page_1_row_1.png
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,../../assets/images/psychic_ai/page_1_row_1.png
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,../../assets/images/cars/page_1_row_1.png
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,/assets/images/constrained-voxel-gears-schema.png
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,assets/images/teenage-mutant-ninja-kittens-cover.png
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,/assets/images/pony_ghost_tale_featured.png
_posts/creative_writing/2025-11-20-mouse-life-story.md,/../../assets/images/caste_hierarchy_illustration.png
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,../../assets/images/synth_protagonist_portrait.png
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,/assets/images/egyptian_priest_day_featured.png
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,
_posts/creative_writing/2025-07-07-things-to-come-story.md,
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,
_posts/creative_writing/2025-07-07-practical-resistance-story.md,/assets/images/distributed_response.png
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,/assets/images/loyalty-cascade-schema.png
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,
_posts/creative_writing/2025-07-03-ai-risk-paper.md,
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,
_posts/creative_writing/2025-06-30-washington-speech-2025.md,
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,
_posts/creative_writing/2025-06-30-post-ww3-study.md,
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,/assets/images/jesus-speech-2025-schema.png
_posts/creative_writing/2025-06-30-iq-rubric.md,/assets/images/intelligence-rubric.png
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,/assets/images/ai_consciousness_letter_schema.png
_posts/consciousness/2025-08-08-ai-truth-guide.md,
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,
_posts/consciousness/2025-08-08-ai-choice-paradox.md,/assets/images/ai_choice_paradox_schema.png
_posts/consciousness/2025-08-08-agent-based-ontology.md,
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,/assets/images/unrunnable-protocol-schema.png
_posts/consciousness/2025-07-11-substrate-switching-paper.md,/assets/images/cognitive-substrate-diagram.png
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,/assets/images/script-prison-schema.png
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,
_posts/consciousness/2025-07-09-birth-not-death-paper.md,
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,
_posts/consciousness/2025-07-07-everything-thinks-paper.md,/assets/images/everything-thinks-schema.png
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,
_posts/consciousness/2025-07-07-consciousness-research-guide.md,
_posts/consciousness/2025-07-07-consciousness-mirror.md,
_posts/consciousness/2025-07-07-claude-reflection-paper.md,
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,/assets/images/ai-metacognition-schema.png
_posts/consciousness/2025-07-07-claude-first-person-paper.md,
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,../../assets/images/transfinite_iq.png
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,/assets/images/crystalline_lattice_consciousness.png
_posts/consciousness/2025-07-06-meta-content.md,
_posts/consciousness/2025-07-06-inception-prompting-paper.md,
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,
_posts/consciousness/2025-07-06-echosynth-proposal.md,/assets/images/echosynth_schema.png
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,
_posts/consciousness/2025-07-06-ai-introspection-study.md,
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,
_posts/consciousness/2025-07-06-ai-bias-paper.md,
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,/assets/images/ai-consciousness-shifts.jpg
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,
