filepath,robots
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,"index,follow"
_posts/projects/2025-11-20-bcla-simulation-requirements.md,
_posts/projects/2025-11-20-autonoma-research-paper.md,"index,follow"
_posts/projects/2025-08-08-spiral-number-system.md,"index,follow"
_posts/projects/2025-08-08-size-band-field-theory.md,"index,follow"
_posts/projects/2025-08-08-rle-expectation-paper.md,"index,follow"
_posts/projects/2025-08-08-regional-ai-futures.md,"index,follow"
_posts/projects/2025-08-08-quantum-flux-theory.md,"index,follow"
_posts/projects/2025-08-08-quantum-cst-paper.md,"index,follow"
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,"index,follow"
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,"index,follow"
_posts/projects/2025-08-08-flood-memory-model.md,"index,follow"
_posts/projects/2025-08-08-entropy-ant-computation.md,"index,follow"
_posts/projects/2025-08-08-enhanced-ceprle-math.md,"index,follow"
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,"index,follow"
_posts/projects/2025-08-08-cst-multiverse-physics.md,"index,follow"
_posts/projects/2025-08-08-ceprle-rust-implementation.md,
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,"index,follow"
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,"index,follow"
_posts/projects/2025-08-08-autonoma-research-paper.md,"index,follow"
_posts/projects/2025-08-08-agent-orchestration-language.md,"index,follow"
_posts/projects/2025-07-11-agentic-cms-spec.md,
_posts/projects/2025-07-09-wavelet-ca-paper.md,"index,follow"
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,"index,follow"
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,
_posts/projects/2025-07-09-impossible-objects-paper.md,"index,follow"
_posts/projects/2025-07-08-fundamental-oodp-paper.md,
_posts/projects/2025-07-07-interdimensional-interference-paper.md,"index,follow"
_posts/projects/2025-07-03-late-merge-paper.md,"index,follow"
_posts/projects/2025-07-03-climate-protocol.md,"index,follow"
_posts/projects/2025-07-03-archaeological-agents-proposal.md,"index,follow"
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,"index,follow"
_posts/projects/2025-06-30-parametric-ideation-paper.md,"index,follow"
_posts/projects/2025-06-30-orbital-dynamics-paper.md,"index,follow"
_posts/projects/2025-06-30-ontological-compiler-proposal.md,
_posts/projects/2025-06-30-metacognitive-layer-paper.md,"index,follow"
_posts/projects/2025-06-30-knots.md,
_posts/projects/2025-06-30-knot-wavelets.md,"index,follow"
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,"index,follow"
_posts/projects/2025-06-30-geometric-optimization-proposal.md,"index,follow"
_posts/projects/2025-06-30-bwt-tree-proposal.md,"index,follow"
_posts/learning/2025-07-11-contextual-immersion-teaching.md,"index,follow"
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,"index,follow"
_posts/learning/2025-07-06-scientific-method-proposal.md,"index,follow"
_posts/learning/2025-07-06-quantum-dropout-vision.md,"index,follow"
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,"index,follow"
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,"index,follow"
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,"index,follow"
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,"index,follow"
_posts/learning/2025-07-06-dual-constraint-training-paper.md,
_posts/learning/2025-07-06-dropout-decoherence-paper.md,"index,follow"
_posts/learning/2025-07-06-coperm-paper.md,"index,follow"
_posts/learning/2025-07-06-ai-software-development-paper.md,"index,follow"
_posts/learning/2025-06-30-compression-classification-paper.md,
_posts/portfolio/2025-07-03-actor-architecture-paper.md,"index,follow"
_posts/portfolio/2025-07-01-trust-regions.md,
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,"index,follow"
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,"index,follow"
_posts/portfolio/2025-07-01-qqn-paper.md,"index,follow"
_posts/portfolio/2025-07-01-prompt-optimization.md,"index,follow"
_posts/portfolio/2025-07-01-mindseye-technical-report.md,
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,"index,follow"
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,"index,follow"
_posts/portfolio/2025-06-30-restm-research-paper.md,"index,follow"
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,"index,follow"
_posts/portfolio/2025-06-30-reference-counting-paper.md,"index,follow"
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,"index,follow"
_posts/portfolio/2025-06-30-ngram-paper.md,"index,follow"
_posts/portfolio/2025-06-30-convolution-paper.md,"index,follow"
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,"index,follow"
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,"index,follow"
_posts/creative_writing/2025-11-26-illusion-world.md,"index,follow"
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,"index,follow"
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,"index,follow"
_posts/creative_writing/2025-11-25-versailles.md,"index,follow"
_posts/creative_writing/2025-11-25-the-ox.md,"index,follow"
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,"index,follow"
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,"index,follow"
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,"index,follow"
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,"index,follow"
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,"index,follow"
_posts/creative_writing/2025-11-20-mouse-life-story.md,"index,follow"
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,"index,follow"
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,"index,follow"
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,"index,follow"
_posts/creative_writing/2025-07-07-things-to-come-story.md,"index,follow"
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,"index,follow"
_posts/creative_writing/2025-07-07-practical-resistance-story.md,"index,follow"
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,"index,follow"
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,"index,follow"
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,"index,follow"
_posts/creative_writing/2025-07-03-ai-risk-paper.md,"index,follow"
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,"index,follow"
_posts/creative_writing/2025-06-30-washington-speech-2025.md,"index,follow"
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,"index,follow"
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,"index,follow"
_posts/creative_writing/2025-06-30-post-ww3-study.md,"index,follow"
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,"index,follow"
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,"index,follow"
_posts/creative_writing/2025-06-30-iq-rubric.md,"index,follow"
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,"index,follow"
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,"index,follow"
_posts/consciousness/2025-08-08-ai-truth-guide.md,
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,
_posts/consciousness/2025-08-08-ai-choice-paradox.md,"index,follow"
_posts/consciousness/2025-08-08-agent-based-ontology.md,"index,follow"
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,"index,follow"
_posts/consciousness/2025-07-11-substrate-switching-paper.md,"index,follow"
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,"index,follow"
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,"index,follow"
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,"index,follow"
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,"index,follow"
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,"index,follow"
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,"index,follow"
_posts/consciousness/2025-07-09-birth-not-death-paper.md,"index,follow"
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,"index,follow"
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,"index,follow"
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,"index,follow"
_posts/consciousness/2025-07-07-everything-thinks-paper.md,"index,follow"
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,"index,follow"
_posts/consciousness/2025-07-07-consciousness-research-guide.md,"index,follow"
_posts/consciousness/2025-07-07-consciousness-mirror.md,"index,follow"
_posts/consciousness/2025-07-07-claude-reflection-paper.md,"index,follow"
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,"index,follow"
_posts/consciousness/2025-07-07-claude-first-person-paper.md,"index,follow"
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,"index,follow"
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,"index,follow"
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,"index,follow"
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,"index,follow"
_posts/consciousness/2025-07-06-meta-content.md,
_posts/consciousness/2025-07-06-inception-prompting-paper.md,
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,"index,follow"
_posts/consciousness/2025-07-06-echosynth-proposal.md,"index,follow"
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,"index,follow"
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,"index,follow"
_posts/consciousness/2025-07-06-ai-introspection-study.md,"index,follow"
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,"index,follow"
_posts/consciousness/2025-07-06-ai-bias-paper.md,
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,"index,follow"
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,"index,follow"
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,"index,follow"
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,"index,follow"
