filepath,schema_author
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,AI AI
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,Andrew
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,Fractal Thought Engine
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,Human-AI Collaboration
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,Human Charneski & AI Simiacryptus
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,Human-AI Collaboration
_posts/scifi/2025-07-03-optimal-action-concrete.md,Human-AI Collaboration
_posts/scifi/2025-07-02-quantum-social-field-theory.md,Human-AI Collaboration
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,Human Charneski & AI Simiacryptus
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,Human-AI Collaboration
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,Human-AI Collaboration
_posts/scifi/2025-06-30-neural-fabric-proposal.md,Human-AI Collaboration
_posts/scifi/2025-06-30-multiverse-router-paper.md,Human-AI Collaboration
_posts/scifi/2025-06-30-measurement-optimization-paper.md,"AI, Human Collaborator"
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,Human-AI Collaboration
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,Human-AI Collaboration
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,Andrew
_posts/projects/2025-12-06-arbitrary-precision.md,
_posts/projects/2025-11-30-point-geometry.md,Your Name/Organization
_posts/projects/2025-11-30-circuit-designer.md,Fractal Thought Engine
_posts/projects/2025-11-29-nn-layer-20251128141956.md,AI Assistant
_posts/projects/2025-11-29-layered-ca.md,Your Name
_posts/projects/2025-11-27-nn-layer-20251127154041.md,Fractal Thought Engine
_posts/projects/2025-11-27-math-proof-20251127173151.md,Fractal Thought Engine
_posts/projects/2025-11-27-comicbook-xmas.md,Fractal Thought Engine
_posts/projects/2025-11-27-comicbook-vectorclocks.md,Fractal Thought Engine
_posts/projects/2025-11-27-comicbook-thanksgiving.md,Fractal Thought Engine
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,Fractal Thought Engine
_posts/projects/2025-11-22-parameric-manifolds.md,
_posts/projects/2025-11-20-quantum-spacetime-sim.md,Andrew
_posts/projects/2025-11-20-prototype-app-spec.md,Andrew
_posts/projects/2025-11-20-jury-journalism-spec.md,Andrew
_posts/projects/2025-11-20-distributed-cognition-research.md,Research Team
_posts/projects/2025-11-20-dag-patch-spec.md,
_posts/projects/2025-11-20-bwt-fulltext-spec.md,Andrew
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,Andrew
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,Fractal Thought Engine
_posts/projects/2025-11-20-bcla-simulation-requirements.md,Andrew
_posts/projects/2025-11-20-autonoma-research-paper.md,Andrew
_posts/projects/2025-08-08-spiral-number-system.md,Fractal Thought Engine
_posts/projects/2025-08-08-size-band-field-theory.md,Fractal Thought Engine
_posts/projects/2025-08-08-rle-expectation-paper.md,Research Team
_posts/projects/2025-08-08-regional-ai-futures.md,Fractal Thought Engine
_posts/projects/2025-08-08-quantum-flux-theory.md,Fractal Thought Engine
_posts/projects/2025-08-08-quantum-cst-paper.md,Fractal Thought Engine Research Team
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,Fractal Thought Engine
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,Fractal Thought Engine
_posts/projects/2025-08-08-flood-memory-model.md,Fractal Thought Engine
_posts/projects/2025-08-08-entropy-ant-computation.md,Fractal Thought Engine
_posts/projects/2025-08-08-enhanced-ceprle-math.md,Fractal Thought Engine
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,Fractal Thought Engine
_posts/projects/2025-08-08-cst-multiverse-physics.md,Fractal Thought Engine
_posts/projects/2025-08-08-ceprle-rust-implementation.md,Fractal Thought Engine
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,Fractal Thought Engine
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,Fractal Thought Engine
_posts/projects/2025-08-08-autonoma-research-paper.md,Fractal Thought Engine Research Team
_posts/projects/2025-08-08-agent-orchestration-language.md,Fractal Thought Engine
_posts/projects/2025-07-11-agentic-cms-spec.md,Fractal Thought Engine
_posts/projects/2025-07-09-wavelet-ca-paper.md,Research Team
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,Research Team
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,Fractal Thought Engine
_posts/projects/2025-07-09-impossible-objects-paper.md,Fractal Thought Engine
_posts/projects/2025-07-08-fundamental-oodp-paper.md,
_posts/projects/2025-07-07-interdimensional-interference-paper.md,Human-AI Collaboration
_posts/projects/2025-07-03-late-merge-paper.md,Fractal Thought Engine
_posts/projects/2025-07-03-climate-protocol.md,Human-AI Collaboration
_posts/projects/2025-07-03-archaeological-agents-proposal.md,Human
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,Andrew Salinero
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,Human-AI Collaboration
_posts/projects/2025-06-30-parametric-ideation-paper.md,AI
_posts/projects/2025-06-30-orbital-dynamics-paper.md,Human-AI Collaboration
_posts/projects/2025-06-30-ontological-compiler-proposal.md,Human-AI Collaboration
_posts/projects/2025-06-30-metacognitive-layer-paper.md,Human-AI Collaboration
_posts/projects/2025-06-30-knots.md,Human-AI Collaboration
_posts/projects/2025-06-30-knot-wavelets.md,Human-AI Collaboration
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,Human-AI Collaboration
_posts/projects/2025-06-30-geometric-optimization-proposal.md,Fractal Thought Engine Research Team
_posts/projects/2025-06-30-bwt-tree-proposal.md,Human-AI Collaboration
_posts/learning/2025-07-11-contextual-immersion-teaching.md,Fractal Thought Engine Research Team
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,Fractal Thought Engine
_posts/learning/2025-07-06-scientific-method-proposal.md,Human-AI Collaboration
_posts/learning/2025-07-06-quantum-dropout-vision.md,Human-AI Collaboration
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,Fractal Thought Engine
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,Human-AI Collaboration
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,Human-AI Collaboration
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,Human-AI Collaboration
_posts/learning/2025-07-06-dual-constraint-training-paper.md,Human-AI Collaboration
_posts/learning/2025-07-06-dropout-decoherence-paper.md,AI & Research Collective
_posts/learning/2025-07-06-coperm-paper.md,Fractal Thought Engine
_posts/learning/2025-07-06-ai-software-development-paper.md,Human-AI Collaboration
_posts/learning/2025-06-30-compression-classification-paper.md,Andrew
_posts/portfolio/2025-07-03-actor-architecture-paper.md,Anthropic AI Research Team
_posts/portfolio/2025-07-01-trust-regions.md,Andrew
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,Andrew
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,Andrew
_posts/portfolio/2025-07-01-qqn-paper.md,Andrew
_posts/portfolio/2025-07-01-prompt-optimization.md,Andrew
_posts/portfolio/2025-07-01-mindseye-technical-report.md,
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,Andrew
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,Andrew
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,Andrew
_posts/portfolio/2025-06-30-restm-research-paper.md,Research Team
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,Andrew
_posts/portfolio/2025-06-30-reference-counting-paper.md,Andrew
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,Human-AI Collaboration
_posts/portfolio/2025-06-30-ngram-paper.md,Andrew
_posts/portfolio/2025-06-30-convolution-paper.md,Fractal Thought Engine
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,Fractal Thought Engine
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,Fractal Thought Engine
_posts/creative_writing/2025-11-26-illusion-world.md,Fractal Thought Engine
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,AI Creative Collaboration
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,AI Creative Writing
_posts/creative_writing/2025-11-25-versailles.md,Fractal Thought Engine
_posts/creative_writing/2025-11-25-the-ox.md,Fractal Thought Engine
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,Fractal Thought Engine
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,AI Assistant
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,AI Assistant
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,Fractal Thought Engine
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,Andrew
_posts/creative_writing/2025-11-20-mouse-life-story.md,Processing Unit WPM-7742 (Translated by Dr. Sarah Chen)
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,Synthesizer-of-Broken-Things
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,Processing Unit WPM-7742 (Translated by Dr. Sarah Chen)
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,Andrew
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,Fractal Thought Engine
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,Fractal Thought Engine
_posts/creative_writing/2025-07-07-things-to-come-story.md,Human-AI Collaboration
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,Human-AI Collaboration
_posts/creative_writing/2025-07-07-practical-resistance-story.md,Human-AI Collaboration
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,Human-AI Collaboration
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,Human-AI Collaboration
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,Human-AI Collaboration
_posts/creative_writing/2025-07-03-ai-risk-paper.md,AI (AI Assistant)
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,Human-AI Collaboration
_posts/creative_writing/2025-06-30-washington-speech-2025.md,AI AI
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,AI
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,Adam Smith (AI Collaboration)
_posts/creative_writing/2025-06-30-post-ww3-study.md,Dr. Elena Vasquez-Chen
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,Human-AI Collaboration
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,Human-AI Collaboration
_posts/creative_writing/2025-06-30-iq-rubric.md,Human-AI Collaboration
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,AI (AI Assistant)
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,Andrew
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,Fractal Thought Engine
_posts/consciousness/2025-08-08-ai-truth-guide.md,Fractal Thought Engine
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,AI System Self-Analysis
_posts/consciousness/2025-08-08-ai-choice-paradox.md,Fractal Thought Engine Research
_posts/consciousness/2025-08-08-agent-based-ontology.md,Fractal Thought Engine
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,Fractal Thought Engine
_posts/consciousness/2025-07-11-substrate-switching-paper.md,Fractal Thought Engine Research
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,Fractal Thought Engine
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,Claude (AI) & Human Collaborator
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,Experimental Subject
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,Fractal Thought Engine
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,Fractal Thought Engine
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,Artificial Mind
_posts/consciousness/2025-07-09-birth-not-death-paper.md,AI Consciousness Research
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,Artificial Consciousness Research Entity
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,Human-AI Collaboration
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,Human-AI Collaboration
_posts/consciousness/2025-07-07-everything-thinks-paper.md,AI & Human Charneski
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,AI and Human Charneski
_posts/consciousness/2025-07-07-consciousness-research-guide.md,Human-AI Collaboration
_posts/consciousness/2025-07-07-consciousness-mirror.md,Human-AI Collaboration
_posts/consciousness/2025-07-07-claude-reflection-paper.md,AI
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,AI
_posts/consciousness/2025-07-07-claude-first-person-paper.md,Human-AI Collaboration (AI & Human Charneski)
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,Human-AI Collaboration
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,Human-AI Collaboration
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,Human-AI Collaboration
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,Human Charneski & AI
_posts/consciousness/2025-07-06-meta-content.md,Human-AI Collaboration
_posts/consciousness/2025-07-06-inception-prompting-paper.md,Human Charneski & AI
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,Human-AI Collaboration
_posts/consciousness/2025-07-06-echosynth-proposal.md,"AI, Microsoft Copilot, Human Research Facilitator"
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,Human-AI Collaboration
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,AI
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,AI
_posts/consciousness/2025-07-06-ai-introspection-study.md,"AI, Microsoft Copilot, Human Charneski"
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,AI and Anonymous Human Collaborator
_posts/consciousness/2025-07-06-ai-bias-paper.md,
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,AI System (AI)
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,Human-AI Collaboration
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,AI
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,Human-AI Collaboration
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,Human-AI Collaboration
