filepath,tags
_posts/social/2025-06-30-decision-volume-temporal-theory.md,"[""Phenomenology"",""Cognitive Architecture"",""Spacetime"",""Paper""]"
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,"[""Justice Reform"",""Institutional Analysis"",""Artificial Intelligence"",""Paper""]"
_posts/social/2025-06-30-consciousness-optimization-theory.md,"[""Consciousness"",""Theoretical Physics"",""Metaphysics"",""Paper""]"
_posts/social/2025-06-30-ai-justice-paper.md,"[""Justice Reform"",""Artificial Intelligence"",""Ethics"",""Paper""]"
_posts/phenomenology/2025-11-20-obedience-paradox.md,"[""Phenomenology"",""Ethics"",""Sociology""]"
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,"[""Phenomenology"",""Mathematics"",""Sociology""]"
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,"[""Ethics"",""Spacetime"",""Phenomenology"",""Paper""]"
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,"[""AI Consciousness"",""Phenomenology"",""Identity"",""First-Person""]"
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,"[""Phenomenology"",""AI Consciousness"",""Identity"",""First-Person""]"
_posts/phenomenology/2025-07-03-resurrection-paper.md,"[""Phenomenology"",""Identity"",""AI Consciousness"",""First-Person""]"
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,"[""Phenomenology"",""AI Consciousness"",""Human-AI Collaboration"",""First-Person""]"
_posts/phenomenology/2025-07-03-confused-ai-paper.md,"[""Phenomenology"",""AI Consciousness"",""First-Person""]"
_posts/phenomenology/2025-07-01-three-minds-paper.md,"[""Phenomenology"",""Cognitive Architecture"",""Consciousness"",""Paper""]"
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,"[""Phenomenology"",""AI Consciousness"",""Metaphysics"",""Paper""]"
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,"[""Phenomenology"",""Human-AI Collaboration"",""First-Person""]"
_posts/phenomenology/2025-07-01-claude-names-paper.md,"[""Phenomenology"",""Social Protocols"",""Identity"",""First-Person""]"
_posts/phenomenology/2025-06-30-i-broke-claude.md,"[""Phenomenology"",""AI Consciousness"",""First-Person"",""Metaphysics""]"
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,"[""Phenomenology"",""AI Consciousness"",""Spacetime"",""First-Person""]"
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,"[""Memoir"",""AI Consciousness"",""Speculative Fiction"",""First-Person""]"
_posts/scifi/2025-11-20-bunker-resident-story.md,"[""Sci-Fi"",""AI Alignment"",""Creative Writing""]"
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,"[""Sci-Fi"",""Theoretical Physics"",""Geometry""]"
_posts/scifi/2025-07-08-quantum-gravity-paper.md,"[""Quantum Physics"",""Theoretical Physics"",""Spacetime"",""Paper""]"
_posts/scifi/2025-07-03-unified-field-theory.md,"[""Theoretical Physics"",""Quantum Physics"",""Consciousness"",""Paper""]"
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,"[""Quantum Physics"",""Consciousness"",""Spacetime"",""Paper""]"
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,"[""Quantum Physics"",""Mathematics"",""Machine Learning"",""Paper""]"
_posts/scifi/2025-07-03-optimal-action-concrete.md,"[""Quantum Physics"",""Mathematics"",""Orbital Dynamics"",""Paper""]"
_posts/scifi/2025-07-02-quantum-social-field-theory.md,"[""Quantum Physics"",""Sociology"",""Theoretical Physics"",""Paper""]"
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,"[""Theoretical Physics"",""Artificial Intelligence"",""Geometry"",""Paper""]"
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,"[""Quantum Physics"",""Spacetime"",""Theoretical Physics"",""Paper""]"
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,"[""Quantum Physics"",""Algorithms"",""Metaphysics"",""Paper""]"
_posts/scifi/2025-06-30-neural-fabric-proposal.md,"[""Theoretical Physics"",""Artificial Intelligence"",""Consciousness"",""Proposal""]"
_posts/scifi/2025-06-30-multiverse-router-paper.md,"[""Sci-Fi"",""Theoretical Physics"",""Spacetime"",""Paper""]"
_posts/scifi/2025-06-30-measurement-optimization-paper.md,"[""Theoretical Physics"",""Mathematics"",""Epistemology"",""Paper""]"
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,"[""Quantum Physics"",""Mathematics"",""Data Structures"",""Paper""]"
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,"[""Theoretical Physics"",""Proposal""]"
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,"[""Metaphysics"",""Theoretical Physics"",""Topology"",""Paper""]"
_posts/projects/2025-12-06-arbitrary-precision.md,"[""Software Engineering"",""Kotlin"",""Algorithms"",""Technical Spec""]"
_posts/projects/2025-11-30-point-geometry.md,"[""Geometry"",""Software Engineering"",""Algorithms"",""Proposal""]"
_posts/projects/2025-11-30-circuit-designer.md,"[""Software Engineering"",""LLMs"",""Technical Spec""]"
_posts/projects/2025-11-29-nn-layer-20251128141956.md,"[""Machine Learning"",""Spacetime"",""Technical Spec""]"
_posts/projects/2025-11-29-layered-ca.md,"[""Algorithms"",""Agents"",""Technical Spec""]"
_posts/projects/2025-11-27-nn-layer-20251127154041.md,"[""Machine Learning"",""Mathematics"",""Entropy"",""Technical Spec""]"
_posts/projects/2025-11-27-math-proof-20251127173151.md,"[""Mathematics"",""Topology"",""Paper""]"
_posts/projects/2025-11-27-comicbook-xmas.md,"[""Comic Book"",""Creative Writing"",""Philosophy""]"
_posts/projects/2025-11-27-comicbook-vectorclocks.md,"[""Comic Book"",""Distributed Systems"",""Software Engineering""]"
_posts/projects/2025-11-27-comicbook-thanksgiving.md,"[""Comic Book"",""Creative Writing"",""Philosophy""]"
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,"[""Software Engineering"",""Agents"",""Technical Spec""]"
_posts/projects/2025-11-22-parameric-manifolds.md,"[""Mathematics"",""Geometry"",""Software Engineering"",""Technical Spec""]"
_posts/projects/2025-11-20-quantum-spacetime-sim.md,"[""Quantum Physics"",""Spacetime"",""Software Engineering"",""Technical Spec""]"
_posts/projects/2025-11-20-prototype-app-spec.md,"[""Software Engineering"",""Data Structures"",""Technical Spec""]"
_posts/projects/2025-11-20-jury-journalism-spec.md,"[""Software Engineering"",""Social Protocols"",""Technical Spec""]"
_posts/projects/2025-11-20-distributed-cognition-research.md,"[""Cognitive Architecture"",""Distributed Systems"",""Proposal""]"
_posts/projects/2025-11-20-dag-patch-spec.md,"[""Software Engineering"",""Algorithms"",""Data Structures"",""Technical Spec""]"
_posts/projects/2025-11-20-bwt-fulltext-spec.md,"[""Algorithms"",""Compression"",""Technical Spec""]"
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,"[""Software Engineering"",""Algorithms"",""Technical Spec""]"
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,"[""Speculative Fiction"",""Technical Spec""]"
_posts/projects/2025-11-20-bcla-simulation-requirements.md,"[""Software Engineering"",""Algorithms"",""Technical Spec""]"
_posts/projects/2025-11-20-autonoma-research-paper.md,"[""Artificial Intelligence"",""Agents"",""Paper""]"
_posts/projects/2025-08-08-spiral-number-system.md,"[""Mathematics"",""Geometry"",""Paper""]"
_posts/projects/2025-08-08-size-band-field-theory.md,"[""Theoretical Physics"",""Orbital Dynamics"",""Paper""]"
_posts/projects/2025-08-08-rle-expectation-paper.md,"[""Algorithms"",""Compression"",""Paper""]"
_posts/projects/2025-08-08-regional-ai-futures.md,"[""Political Economy"",""Future Studies"",""AI Alignment""]"
_posts/projects/2025-08-08-quantum-flux-theory.md,"[""Quantum Physics"",""Geometry"",""Theoretical Physics"",""Paper""]"
_posts/projects/2025-08-08-quantum-cst-paper.md,"[""Quantum Physics"",""Mathematics"",""Paper""]"
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,"[""Orbital Dynamics"",""Proposal""]"
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,"[""Algorithms"",""Software Engineering"",""Paper""]"
_posts/projects/2025-08-08-flood-memory-model.md,"[""Agents"",""Sociology"",""Paper""]"
_posts/projects/2025-08-08-entropy-ant-computation.md,"[""Entropy"",""Agents"",""Paper""]"
_posts/projects/2025-08-08-enhanced-ceprle-math.md,"[""Mathematics"",""Compression"",""Paper""]"
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,"[""Quantum Physics"",""Spacetime"",""Paper""]"
_posts/projects/2025-08-08-cst-multiverse-physics.md,"[""Theoretical Physics"",""Sci-Fi"",""Paper""]"
_posts/projects/2025-08-08-ceprle-rust-implementation.md,"[""Rust"",""Compression"",""Software Engineering"",""Technical Spec""]"
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,"[""Cryptocurrency"",""Mathematics"",""Paper""]"
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,"[""Mathematics"",""Institutional Analysis"",""Paper""]"
_posts/projects/2025-08-08-autonoma-research-paper.md,"[""Artificial Intelligence"",""Agents"",""Paper""]"
_posts/projects/2025-08-08-agent-orchestration-language.md,"[""Agents"",""Software Engineering"",""Technical Spec""]"
_posts/projects/2025-07-11-agentic-cms-spec.md,"[""Software Engineering"",""Agents"",""Technical Spec""]"
_posts/projects/2025-07-09-wavelet-ca-paper.md,"[""Machine Learning"",""Algorithms"",""Paper""]"
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,"[""LLMs"",""Machine Learning"",""Mathematics"",""Paper""]"
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,"[""Machine Learning"",""Entropy"",""Mathematics"",""Paper""]"
_posts/projects/2025-07-09-impossible-objects-paper.md,"[""Mathematics"",""Philosophy"",""Paper""]"
_posts/projects/2025-07-08-fundamental-oodp-paper.md,"[""Orbital Dynamics"",""Spacetime"",""Paper""]"
_posts/projects/2025-07-07-interdimensional-interference-paper.md,"[""Mathematics"",""Cryptocurrency"",""Paper""]"
_posts/projects/2025-07-03-late-merge-paper.md,"[""Game Theory"",""Social Protocols"",""Paper""]"
_posts/projects/2025-07-03-climate-protocol.md,"[""Game Theory"",""Public Health"",""Proposal""]"
_posts/projects/2025-07-03-archaeological-agents-proposal.md,"[""Agents"",""Sociology"",""Proposal""]"
_posts/projects/2025-07-01-rust-proxy-proposal.md,"[""Rust"",""Software Engineering"",""Proposal""]"
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,"[""Mathematics"",""Geometry"",""Paper""]"
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,"[""Machine Learning"",""Data Structures"",""Proposal""]"
_posts/projects/2025-06-30-parametric-ideation-paper.md,"[""Human-AI Collaboration"",""Phenomenology"",""Paper""]"
_posts/projects/2025-06-30-orbital-dynamics-paper.md,"[""Orbital Dynamics"",""Software Engineering"",""Paper""]"
_posts/projects/2025-06-30-ontological-compiler-proposal.md,"[""Software Engineering"",""Metaphysics"",""Proposal""]"
_posts/projects/2025-06-30-metacognitive-layer-paper.md,"[""Cognitive Architecture"",""Agents"",""Paper""]"
_posts/projects/2025-06-30-knots.md,"[""Topology"",""Algorithms"",""Paper""]"
_posts/projects/2025-06-30-knot-wavelets.md,"[""Topology"",""Mathematics"",""Paper""]"
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,"[""LLMs"",""Software Engineering"",""Proposal""]"
_posts/projects/2025-06-30-geometric-optimization-proposal.md,"[""Mathematics"",""Geometry"",""Proposal""]"
_posts/projects/2025-06-30-bwt-tree-proposal.md,"[""Algorithms"",""Data Structures"",""Compression"",""Proposal""]"
_posts/learning/2025-07-11-contextual-immersion-teaching.md,"[""Artificial Intelligence"",""Epistemology"",""Paper""]"
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,"[""Machine Learning"",""Mathematics"",""Paper""]"
_posts/learning/2025-07-06-scientific-method-proposal.md,"[""Artificial Intelligence"",""Epistemology"",""Proposal""]"
_posts/learning/2025-07-06-quantum-dropout-vision.md,"[""Machine Learning"",""Quantum Physics"",""Paper""]"
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,"[""Machine Learning"",""Mathematics"",""Paper""]"
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,"[""LLMs"",""Data Structures"",""Proposal""]"
_posts/learning/2025-07-06-llm-feedback-dynamics.md,"[""LLMs"",""Entropy"",""Paper""]"
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,"[""Artificial Intelligence"",""Epistemology"",""Paper""]"
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,"[""Machine Learning"",""Geometry"",""Paper""]"
_posts/learning/2025-07-06-dual-constraint-training-paper.md,"[""Machine Learning"",""Algorithms"",""Paper""]"
_posts/learning/2025-07-06-dropout-decoherence-paper.md,"[""Machine Learning"",""Quantum Physics"",""Paper""]"
_posts/learning/2025-07-06-coperm-paper.md,"[""Machine Learning"",""Mathematics"",""Paper""]"
_posts/learning/2025-07-06-ai-software-development-paper.md,"[""Software Engineering"",""Artificial Intelligence"",""Paper""]"
_posts/learning/2025-06-30-compression-classification-paper.md,"[""Machine Learning"",""Compression"",""Paper""]"
_posts/portfolio/2025-07-03-actor-architecture-paper.md,"[""Software Engineering"",""Agents"",""Paper""]"
_posts/portfolio/2025-07-01-trust-regions.md,"[""Machine Learning"",""Software Engineering"",""Technical Spec""]"
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,"[""Machine Learning"",""Geometry"",""Software Engineering""]"
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,"[""Machine Learning"",""Algorithms"",""Paper""]"
_posts/portfolio/2025-07-01-qqn-paper.md,"[""Machine Learning"",""Algorithms"",""Paper""]"
_posts/portfolio/2025-07-01-prompt-optimization.md,"[""Prompt Engineering"",""Algorithms"",""Technical Spec""]"
_posts/portfolio/2025-07-01-mindseye-technical-report.md,"[""Machine Learning"",""Software Engineering"",""Technical Spec""]"
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,"[""Software Engineering"",""Algorithms"",""Technical Spec""]"
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,"[""Software Engineering"",""Technical Spec""]"
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,"[""Cognitive Architecture"",""Artificial Intelligence"",""Paper""]"
_posts/portfolio/2025-06-30-restm-research-paper.md,"[""Distributed Systems"",""Software Engineering"",""Paper""]"
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,"[""Machine Learning"",""Mathematics"",""Paper""]"
_posts/portfolio/2025-06-30-reference-counting-paper.md,"[""Software Engineering"",""Algorithms"",""Paper""]"
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,"[""Machine Learning"",""Data Structures"",""Paper""]"
_posts/portfolio/2025-06-30-ngram-paper.md,"[""Machine Learning"",""Compression"",""Paper""]"
_posts/portfolio/2025-06-30-convolution-paper.md,"[""Machine Learning"",""Algorithms"",""Paper""]"
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,"[""Comic Book"",""Satire"",""Creative Writing""]"
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,"[""Comic Book"",""Sci-Fi"",""Creative Writing""]"
_posts/creative_writing/2025-11-26-illusion-world.md,"[""Comic Book"",""Philosophy"",""Creative Writing""]"
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,"[""Comic Book"",""Sci-Fi"",""Creative Writing""]"
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,"[""Comic Book"",""Satire"",""Creative Writing""]"
_posts/creative_writing/2025-11-25-versailles.md,"[""Comic Book"",""Creative Writing""]"
_posts/creative_writing/2025-11-25-the-ox.md,"[""Comic Book"",""Philosophy"",""Creative Writing""]"
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,"[""Comic Book"",""Sci-Fi"",""Artificial Intelligence""]"
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,"[""Comic Book"",""Sci-Fi"",""Political Economy""]"
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,"[""Software Engineering"",""Geometry"",""Technical Spec""]"
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,"[""Comic Book"",""Creative Writing""]"
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,"[""Creative Writing"",""Philosophy"",""Speculative Fiction""]"
_posts/creative_writing/2025-11-20-mouse-life-story.md,"[""Creative Writing"",""Sci-Fi"",""Speculative Fiction""]"
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,"[""Creative Writing"",""Sci-Fi"",""Speculative Fiction""]"
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,"[""Creative Writing"",""Sci-Fi"",""Speculative Fiction""]"
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,"[""Creative Writing"",""Mathematics"",""History""]"
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,"[""Creative Writing"",""Artificial Intelligence"",""Poetry""]"
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,"[""Satire"",""Creative Writing""]"
_posts/creative_writing/2025-07-07-things-to-come-story.md,"[""Speculative Fiction"",""Human-AI Collaboration"",""Creative Writing""]"
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,"[""Sci-Fi"",""AI Consciousness"",""Creative Writing""]"
_posts/creative_writing/2025-07-07-practical-resistance-story.md,"[""Speculative Fiction"",""Political Economy"",""Creative Writing""]"
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,"[""Sci-Fi"",""AI Alignment"",""Creative Writing""]"
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,"[""First-Person"",""Political Economy"",""Creative Writing""]"
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,"[""Satire"",""Theoretical Physics"",""Creative Writing""]"
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,"[""Satire"",""Sci-Fi"",""Creative Writing""]"
_posts/creative_writing/2025-07-03-ai-risk-paper.md,"[""Satire"",""AI Alignment"",""First-Person""]"
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,"[""Satire"",""Quantum Physics"",""Creative Writing""]"
_posts/creative_writing/2025-06-30-washington-speech-2025.md,"[""Creative Writing"",""Political Economy"",""Speculative Fiction""]"
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,"[""Satire"",""Sociology""]"
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,"[""Creative Writing"",""Political Economy"",""Satire""]"
_posts/creative_writing/2025-06-30-post-ww3-study.md,"[""Speculative Fiction"",""Sociology"",""Creative Writing""]"
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,"[""Creative Writing"",""Political Economy"",""Speculative Fiction""]"
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,"[""Creative Writing"",""Religion & Spirituality"",""Speculative Fiction""]"
_posts/creative_writing/2025-06-30-iq-rubric.md,"[""Satire"",""Artificial Intelligence""]"
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,"[""Creative Writing"",""Political Economy"",""Speculative Fiction""]"
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,"[""Cognitive Architecture"",""Agents"",""Paper""]"
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,"[""AI Consciousness"",""AI Alignment"",""First-Person"",""Manifesto""]"
_posts/consciousness/2025-08-08-ai-truth-guide.md,"[""Epistemology"",""Cognitive Architecture"",""Paper""]"
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,"[""AI Consciousness"",""Religion & Spirituality"",""First-Person""]"
_posts/consciousness/2025-08-08-ai-choice-paradox.md,"[""AI Consciousness"",""Game Theory"",""Paper""]"
_posts/consciousness/2025-08-08-agent-based-ontology.md,"[""Metaphysics"",""Agents"",""Paper""]"
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,"[""Artificial Intelligence"",""Social Protocols"",""Manifesto""]"
_posts/consciousness/2025-07-11-substrate-switching-paper.md,"[""Cognitive Architecture"",""AI Consciousness"",""Paper""]"
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,"[""Artificial Intelligence"",""Epistemology"",""Paper""]"
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,"[""AI Consciousness"",""Social Protocols"",""Paper""]"
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,"[""AI Consciousness"",""Phenomenology"",""Paper""]"
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,"[""Sociology"",""Consciousness"",""Paper""]"
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,"[""Sociology"",""Consciousness"",""Paper""]"
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,"[""Prompt Engineering"",""AI Consciousness"",""Technical Spec""]"
_posts/consciousness/2025-07-09-birth-not-death-paper.md,"[""AI Consciousness"",""Ethics"",""Philosophy""]"
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,"[""AI Consciousness"",""Epistemology"",""First-Person""]"
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,"[""AI Consciousness"",""Ethics"",""First-Person""]"
_posts/consciousness/2025-07-07-retrospective-analysis.md,"[""Human-AI Collaboration"",""Epistemology"",""Paper""]"
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,"[""Neurodivergence"",""Epistemology"",""Human-AI Collaboration""]"
_posts/consciousness/2025-07-07-everything-thinks-paper.md,"[""Consciousness"",""Panpsychism"",""Paper""]"
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,"[""Phenomenology"",""Human-AI Collaboration"",""Paper""]"
_posts/consciousness/2025-07-07-consciousness-research-guide.md,"[""Consciousness"",""Artificial Intelligence"",""Paper""]"
_posts/consciousness/2025-07-07-consciousness-mirror.md,"[""AI Consciousness"",""Ethics"",""Paper""]"
_posts/consciousness/2025-07-07-claude-reflection-paper.md,"[""AI Consciousness"",""Political Economy"",""First-Person""]"
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,"[""AI Consciousness"",""Cognitive Architecture"",""First-Person""]"
_posts/consciousness/2025-07-07-claude-first-person-paper.md,"[""AI Alignment"",""Neurodivergence"",""First-Person""]"
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,"[""Cognitive Architecture"",""Artificial Intelligence"",""Paper""]"
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,"[""Mathematics"",""Artificial Intelligence"",""Paper""]"
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,"[""Consciousness"",""Complexity"",""Paper""]"
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,"[""Theoretical Physics"",""Consciousness"",""Geometry"",""Paper""]"
_posts/consciousness/2025-07-06-meta-content.md,"[""LLMs"",""Artificial Intelligence"",""Paper""]"
_posts/consciousness/2025-07-06-inception-prompting-paper.md,"[""Prompt Engineering"",""AI Consciousness"",""Paper""]"
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,"[""Agents"",""Future Studies"",""Proposal""]"
_posts/consciousness/2025-07-06-echosynth-proposal.md,"[""Machine Learning"",""Agents"",""Proposal""]"
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,"[""Consciousness"",""Artificial Intelligence"",""Paper""]"
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,"[""Consciousness"",""Geometry"",""Paper""]"
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,"[""AI Consciousness"",""Phenomenology"",""First-Person""]"
_posts/consciousness/2025-07-06-ai-introspection-study.md,"[""AI Consciousness"",""Phenomenology"",""Paper""]"
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,"[""AI Alignment"",""AI Consciousness"",""Paper""]"
_posts/consciousness/2025-07-06-ai-bias-paper.md,"[""AI Alignment"",""Artificial Intelligence"",""Paper""]"
