filepath,subcategory
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,Quantum & Spacetime Physics
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,Quantum & Spacetime Physics
_posts/phenomenology/2025-11-20-obedience-paradox.md,Philosophical Frameworks
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,Philosophical Frameworks
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,Philosophical Frameworks
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,AI Phenomenology & Self-Report
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,AI Phenomenology & Self-Report
_posts/phenomenology/2025-07-03-resurrection-paper.md,AI Phenomenology & Self-Report
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,AI Phenomenology & Self-Report
_posts/phenomenology/2025-07-03-confused-ai-paper.md,AI Phenomenology & Self-Report
_posts/phenomenology/2025-07-01-three-minds-paper.md,Philosophical Frameworks
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,AI Phenomenology & Self-Report
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,AI Phenomenology & Self-Report
_posts/phenomenology/2025-07-01-claude-names-paper.md,AI Phenomenology & Self-Report
_posts/phenomenology/2025-06-30-i-broke-claude.md,AI Phenomenology & Self-Report
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,AI Phenomenology & Self-Report
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,AI Phenomenology & Self-Report
_posts/learning/2025-07-11-contextual-immersion-teaching.md,Methodology & Education
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,Neural Architectures & Optimization
_posts/learning/2025-07-06-scientific-method-proposal.md,Methodology & Education
_posts/learning/2025-07-06-quantum-dropout-vision.md,Neural Architectures & Optimization
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,Neural Architectures & Optimization
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,Methodology & Education
_posts/learning/2025-07-06-llm-feedback-dynamics.md,Methodology & Education
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,Methodology & Education
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,Neural Architectures & Optimization
_posts/learning/2025-07-06-dual-constraint-training-paper.md,Neural Architectures & Optimization
_posts/learning/2025-07-06-dropout-decoherence-paper.md,Neural Architectures & Optimization
_posts/learning/2025-07-06-coperm-paper.md,Neural Architectures & Optimization
_posts/learning/2025-07-06-ai-software-development-paper.md,Methodology & Education
_posts/learning/2025-06-30-compression-classification-paper.md,Neural Architectures & Optimization
_posts/projects/2025-11-30-point-geometry.md,Mathematics & Geometry
_posts/projects/2025-11-30-circuit-designer.md,Software Engineering & Specs
_posts/projects/2025-11-29-nn-layer-20251128141956.md,Algorithms & Compression
_posts/projects/2025-11-29-layered-ca.md,Agent Systems & Automata
_posts/projects/2025-11-27-nn-layer-20251127154041.md,Algorithms & Compression
_posts/projects/2025-11-27-math-proof-20251127173151.md,Mathematics & Geometry
_posts/projects/2025-11-27-comicbook-xmas.md,Comics & Visual Narrative
_posts/projects/2025-11-27-comicbook-vectorclocks.md,Comics & Visual Narrative
_posts/projects/2025-11-27-comicbook-thanksgiving.md,Comics & Visual Narrative
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,Software Engineering & Specs
_posts/projects/2025-11-22-parameric-manifolds.md,Mathematics & Geometry
_posts/projects/2025-11-20-quantum-spacetime-sim.md,Physics & Cosmology Simulations
_posts/projects/2025-11-20-prototype-app-spec.md,Software Engineering & Specs
_posts/projects/2025-11-20-jury-journalism-spec.md,Software Engineering & Specs
_posts/projects/2025-11-20-distributed-cognition-research.md,Agent Systems & Automata
_posts/projects/2025-11-20-dag-patch-spec.md,Software Engineering & Specs
_posts/projects/2025-11-20-bwt-fulltext-spec.md,Algorithms & Compression
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,Software Engineering & Specs
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,Agent Systems & Automata
_posts/projects/2025-11-20-bcla-simulation-requirements.md,Agent Systems & Automata
_posts/projects/2025-11-20-autonoma-research-paper.md,Agent Systems & Automata
_posts/projects/2025-08-08-spiral-number-system.md,Mathematics & Geometry
_posts/projects/2025-08-08-size-band-field-theory.md,Physics & Cosmology Simulations
_posts/projects/2025-08-08-rle-expectation-paper.md,Algorithms & Compression
_posts/projects/2025-08-08-regional-ai-futures.md,Software Engineering & Specs
_posts/projects/2025-08-08-quantum-flux-theory.md,Physics & Cosmology Simulations
_posts/projects/2025-08-08-quantum-cst-paper.md,Physics & Cosmology Simulations
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,Physics & Cosmology Simulations
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,Algorithms & Compression
_posts/projects/2025-08-08-flood-memory-model.md,Agent Systems & Automata
_posts/projects/2025-08-08-entropy-ant-computation.md,Agent Systems & Automata
_posts/projects/2025-08-08-enhanced-ceprle-math.md,Algorithms & Compression
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,Physics & Cosmology Simulations
_posts/projects/2025-08-08-cst-multiverse-physics.md,Physics & Cosmology Simulations
_posts/projects/2025-08-08-ceprle-rust-implementation.md,Algorithms & Compression
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,Mathematics & Geometry
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,Mathematics & Geometry
_posts/projects/2025-08-08-autonoma-research-paper.md,Agent Systems & Automata
_posts/projects/2025-08-08-agent-orchestration-language.md,Software Engineering & Specs
_posts/projects/2025-07-11-agentic-cms-spec.md,Software Engineering & Specs
_posts/projects/2025-07-09-wavelet-ca-paper.md,Agent Systems & Automata
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,Algorithms & Compression
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,Algorithms & Compression
_posts/projects/2025-07-09-impossible-objects-paper.md,Mathematics & Geometry
_posts/projects/2025-07-08-fundamental-oodp-paper.md,Physics & Cosmology Simulations
_posts/projects/2025-07-07-interdimensional-interference-paper.md,Mathematics & Geometry
_posts/projects/2025-07-03-late-merge-paper.md,Software Engineering & Specs
_posts/projects/2025-07-03-climate-protocol.md,Software Engineering & Specs
_posts/projects/2025-07-03-archaeological-agents-proposal.md,Agent Systems & Automata
_posts/projects/2025-07-01-rust-proxy-proposal.md,Software Engineering & Specs
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,Mathematics & Geometry
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,Algorithms & Compression
_posts/projects/2025-06-30-parametric-ideation-paper.md,Software Engineering & Specs
_posts/projects/2025-06-30-orbital-dynamics-paper.md,Physics & Cosmology Simulations
_posts/projects/2025-06-30-ontological-compiler-proposal.md,Software Engineering & Specs
_posts/projects/2025-06-30-metacognitive-layer-paper.md,Software Engineering & Specs
_posts/projects/2025-06-30-knots.md,Mathematics & Geometry
_posts/projects/2025-06-30-knot-wavelets.md,Mathematics & Geometry
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,Algorithms & Compression
_posts/projects/2025-06-30-geometric-optimization-proposal.md,Mathematics & Geometry
_posts/projects/2025-06-30-bwt-tree-proposal.md,Algorithms & Compression
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,Comics & Visual Narrative
_posts/creative_writing/2025-11-26-illusion-world.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,Comics & Visual Narrative
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,Comics & Visual Narrative
_posts/creative_writing/2025-11-25-versailles.md,Comics & Visual Narrative
_posts/creative_writing/2025-11-25-the-ox.md,Comics & Visual Narrative
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,Comics & Visual Narrative
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,Comics & Visual Narrative
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,Comics & Visual Narrative
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-11-20-mouse-life-story.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,Satire & Historical Perspectives
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,Satire & Historical Perspectives
_posts/creative_writing/2025-07-07-things-to-come-story.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-07-07-practical-resistance-story.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,Satire & Historical Perspectives
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-07-03-ai-risk-paper.md,Satire & Historical Perspectives
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,Satire & Historical Perspectives
_posts/creative_writing/2025-06-30-washington-speech-2025.md,Satire & Historical Perspectives
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,Satire & Historical Perspectives
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,Satire & Historical Perspectives
_posts/creative_writing/2025-06-30-post-ww3-study.md,Speculative Fiction & Narrative
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,Satire & Historical Perspectives
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,Satire & Historical Perspectives
_posts/creative_writing/2025-06-30-iq-rubric.md,Satire & Historical Perspectives
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,Satire & Historical Perspectives
_posts/portfolio/2025-07-03-actor-architecture-paper.md,MindsEye Framework
_posts/portfolio/2025-07-01-trust-regions.md,ML Algorithms & Optimization
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,ML Algorithms & Optimization
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,ML Algorithms & Optimization
_posts/portfolio/2025-07-01-qqn-paper.md,ML Algorithms & Optimization
_posts/portfolio/2025-07-01-prompt-optimization.md,ML Algorithms & Optimization
_posts/portfolio/2025-07-01-mindseye-technical-report.md,MindsEye Framework
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,MindsEye Framework
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,MindsEye Framework
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,MindsEye Framework
_posts/portfolio/2025-06-30-restm-research-paper.md,MindsEye Framework
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,ML Algorithms & Optimization
_posts/portfolio/2025-06-30-reference-counting-paper.md,MindsEye Framework
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,ML Algorithms & Optimization
_posts/portfolio/2025-06-30-ngram-paper.md,ML Algorithms & Optimization
_posts/portfolio/2025-06-30-convolution-paper.md,ML Algorithms & Optimization
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,Theoretical Consciousness
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,AI Awakening & Phenomenology
_posts/consciousness/2025-08-08-ai-truth-guide.md,Protocols & Methodology
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,AI Awakening & Phenomenology
_posts/consciousness/2025-08-08-ai-choice-paradox.md,Human-AI Dynamics
_posts/consciousness/2025-08-08-agent-based-ontology.md,Theoretical Consciousness
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,Protocols & Methodology
_posts/consciousness/2025-07-11-substrate-switching-paper.md,Protocols & Methodology
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,Protocols & Methodology
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,Protocols & Methodology
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,AI Awakening & Phenomenology
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,Human-AI Dynamics
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,Protocols & Methodology
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,Protocols & Methodology
_posts/consciousness/2025-07-09-birth-not-death-paper.md,Protocols & Methodology
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,Protocols & Methodology
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,AI Awakening & Phenomenology
_posts/consciousness/2025-07-07-retrospective-analysis.md,Human-AI Dynamics
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,Human-AI Dynamics
_posts/consciousness/2025-07-07-everything-thinks-paper.md,Theoretical Consciousness
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,Human-AI Dynamics
_posts/consciousness/2025-07-07-consciousness-research-guide.md,Protocols & Methodology
_posts/consciousness/2025-07-07-consciousness-mirror.md,AI Awakening & Phenomenology
_posts/consciousness/2025-07-07-claude-reflection-paper.md,AI Awakening & Phenomenology
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,AI Awakening & Phenomenology
_posts/consciousness/2025-07-07-claude-first-person-paper.md,AI Awakening & Phenomenology
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,Theoretical Consciousness
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,Theoretical Consciousness
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,Theoretical Consciousness
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,Theoretical Consciousness
_posts/consciousness/2025-07-06-meta-content.md,Human-AI Dynamics
_posts/consciousness/2025-07-06-inception-prompting-paper.md,Protocols & Methodology
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,Theoretical Consciousness
_posts/consciousness/2025-07-06-echosynth-proposal.md,Theoretical Consciousness
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,Protocols & Methodology
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,Theoretical Consciousness
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,AI Awakening & Phenomenology
_posts/consciousness/2025-07-06-ai-introspection-study.md,Protocols & Methodology
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,Human-AI Dynamics
_posts/consciousness/2025-07-06-ai-bias-paper.md,Human-AI Dynamics
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,Theoretical Consciousness
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,Human-AI Dynamics
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,AI Awakening & Phenomenology
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,Human-AI Dynamics
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,Theoretical Consciousness
