filepath,schema_type
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,CreativeWork
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,CreativeWork
_posts/creative_writing/2025-06-30-iq-rubric.md,Article
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,CreativeWork
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,ScholarlyArticle
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,Article
_posts/consciousness/2025-08-08-ai-truth-guide.md,TechArticle
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,ScholarlyArticle
_posts/consciousness/2025-08-08-ai-choice-paradox.md,ScholarlyArticle
_posts/consciousness/2025-08-08-agent-based-ontology.md,ScholarlyArticle
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,TechArticle
_posts/consciousness/2025-07-11-substrate-switching-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,ScholarlyArticle
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,ScholarlyArticle
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,TechArticle
_posts/consciousness/2025-07-09-birth-not-death-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,ScholarlyArticle
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,ScholarlyArticle
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,ScholarlyArticle
_posts/consciousness/2025-07-07-everything-thinks-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,ScholarlyArticle
_posts/consciousness/2025-07-07-consciousness-research-guide.md,ScholarlyArticle
_posts/consciousness/2025-07-07-consciousness-mirror.md,ScholarlyArticle
_posts/consciousness/2025-07-07-claude-reflection-paper.md,Article
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-07-claude-first-person-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,ScholarlyArticle
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,ScholarlyArticle
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-06-meta-content.md,ScholarlyArticle
_posts/consciousness/2025-07-06-inception-prompting-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,ScholarlyArticle
_posts/consciousness/2025-07-06-echosynth-proposal.md,ScholarlyArticle
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-06-ai-introspection-study.md,ScholarlyArticle
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-06-ai-bias-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,ScholarlyArticle
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,ScholarlyArticle
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,ScholarlyArticle
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,ScholarlyArticle
