filepath,schema_reading_time
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,PT15M
_posts/creative_writing/2025-11-20-mouse-life-story.md,PT18M
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,PT18M
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,PT18M
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,PT12M
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,PT15M
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,PT8M
_posts/creative_writing/2025-07-07-things-to-come-story.md,PT25M
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,PT45M
_posts/creative_writing/2025-07-07-practical-resistance-story.md,PT25M
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,PT25M
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,PT25M
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,PT12M
_posts/creative_writing/2025-07-03-ai-risk-paper.md,PT25M
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,PT45M
_posts/creative_writing/2025-06-30-washington-speech-2025.md,
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,PT8M
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,PT25M
_posts/creative_writing/2025-06-30-post-ww3-study.md,PT25M
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,PT15M
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,PT15M
_posts/creative_writing/2025-06-30-iq-rubric.md,PT8M
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,PT15M
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,PT12M
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,PT12M
_posts/consciousness/2025-08-08-ai-truth-guide.md,PT25M
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,PT25M
_posts/consciousness/2025-08-08-ai-choice-paradox.md,PT45M
_posts/consciousness/2025-08-08-agent-based-ontology.md,PT45M
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,PT25M
_posts/consciousness/2025-07-11-substrate-switching-paper.md,PT45M
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,PT25M
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,PT25M
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,PT25M
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,PT25M
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,PT25M
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,PT25M
_posts/consciousness/2025-07-09-birth-not-death-paper.md,PT15M
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,PT25M
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,PT25M
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,PT45M
_posts/consciousness/2025-07-07-everything-thinks-paper.md,PT15M
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,PT25M
_posts/consciousness/2025-07-07-consciousness-research-guide.md,PT25M
_posts/consciousness/2025-07-07-consciousness-mirror.md,PT45M
_posts/consciousness/2025-07-07-claude-reflection-paper.md,PT15M
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,PT25M
_posts/consciousness/2025-07-07-claude-first-person-paper.md,PT45M
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,PT45M
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,PT25M
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,PT25M
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,PT45M
_posts/consciousness/2025-07-06-meta-content.md,PT15M
_posts/consciousness/2025-07-06-inception-prompting-paper.md,PT25M
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,PT45M
_posts/consciousness/2025-07-06-echosynth-proposal.md,PT25M
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,PT25M
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,PT25M
_posts/consciousness/2025-07-06-ai-introspection-study.md,PT25M
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,PT45M
_posts/consciousness/2025-07-06-ai-bias-paper.md,
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,PT25M
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,PT45M
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,PT25M
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,PT25M
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,PT25M
