filepath,related_documents
_posts/social/2025-06-30-managed-reality-paper.md,"[""./2025-07-03-post-scarcity-proposal.md"",""./2025-06-30-game-theory-ethics.md"",""./2025-07-03-conversation-intelligence-paper.md"",""./2025-07-03-cognitive-effort-paper.md"",""../scifi/2025-06-29-superfluid-fusion-proposal.md""]"
_posts/social/2025-06-30-iterative-recognition-paper.md,"[""./2025-07-03-conversation-intelligence-paper.md""]"
_posts/social/2025-06-30-institutional-decay-analysis.md,"[""./2025-06-30-game-theory-ethics.md"",""./2025-07-03-cognitive-effort-paper.md"",""./2025-07-03-cognitive-effort-paper.md"",""./2025-06-30-institutional-decay-analysis.md""]"
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,"[""../learning/2025-07-06-llm-feedback-dynamics.md"",""../learning/2025-07-06-hypothesis-breeding-grounds.md"",""../consciousness/2025-07-06-evolutionary-agents-proposal.md"",""../portfolio/2025-07-01-prompt-optimization.md""]"
_posts/social/2025-06-30-game-theory-ethics.md,"[{""institutional_collapse_simulation.tsx"":""Interactive implementation of the theoretical models""},{""ai_justice_paper.md"":""AI-driven solutions to the legal system pathologies identified here""},{""cross_synthesis_justice_institutions.md"":""Unified theory connecting institutional analysis to AI transformation""},{""social_truth_proposal.md"":""Framework for understanding belief dynamics in institutions""},{""cognitive_effort_paper.md"":""Analysis of individual cognitive decisions within institutional contexts""},{""conversation_intelligence_paper.md"":""How distributed intelligence assessment could reform institutional decision-making""},{""managed_reality_paper.md"":""Information environment design for institutional reform""},{""institutional_decay_analysis.md"":""How psychopathic selection accelerates institutional capture""}]"
_posts/social/2025-06-30-decision-volume-temporal-theory.md,"[""./2025-07-03-cognitive-effort-paper.md"",""./2025-07-03-conversation-intelligence-paper.md""]"
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,"[""./2025-06-30-game-theory-ethics.md"",""./2025-06-30-ai-justice-paper.md"",""institutional_collapse_simulation.tsx"",""./2025-07-03-social-truth-proposal.md"",""./2025-07-03-cognitive-effort-paper.md"",""./2025-07-03-conversation-intelligence-paper.md"",""./2025-06-30-managed-reality-paper.md""]"
_posts/social/2025-06-30-consciousness-optimization-theory.md,"[""../consciousness/2025-07-06-ai-introspection-study.md"",""../projects/2025-06-30-parametric-ideation-paper.md"",""../phenomenology/2025-07-01-hall-of-mirrors-paper.md"",""./2025-07-03-hiring.md""]"
_posts/social/2025-06-30-ai-justice-paper.md,"[""./2025-06-30-game-theory-ethics.md"",""./2025-06-30-cross-synthesis-justice-institutions.md"",""../projects/2025-06-30-ontological-compiler-proposal.md"",""./2025-07-03-social-truth-proposal.md"",""./2025-07-03-conversation-intelligence-paper.md""]"
_posts/scifi/2025-11-20-bunker-resident-story.md,[]
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,[]
_posts/scifi/2025-07-08-quantum-gravity-paper.md,"[""../projects/2025-07-08-fundamental-oodp-paper.md""]"
_posts/scifi/2025-07-03-unified-field-theory.md,"[""consciousness-geometry"",""quantum-cognition"",""retrocausal-frameworks""]"
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,[]
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,[]
_posts/scifi/2025-07-03-optimal-action-concrete.md,"[""../consciousness/2025-07-07-consciousness-mirror.md"",""../projects/2025-06-30-knots.md""]"
_posts/scifi/2025-07-02-quantum-social-field-theory.md,"[""../social/2025-07-03-hiring.md"",""../projects/2025-06-30-knots.md"",""../portfolio/2025-07-01-cognitive-planning-paper.md""]"
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,[]
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,"[""./2025-06-30-simulation-qft-hashlife.md"",""../consciousness/2025-07-06-scale-invariant-intelligence.md"",""../projects/2025-06-30-wavelet-geometric-optimization.md"",""./2025-06-30-dynamic-quantum-graphs.md"",""./2025-06-30-multiverse-router-paper.md""]"
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,"[""./2025-07-01-quantum-spacetime-paper.md"",""./2025-06-30-dynamic-quantum-graphs.md"",""./2025-06-30-multiverse-router-paper.md"",""../projects/2025-06-30-wavelet-geometric-optimization.md""]"
_posts/scifi/2025-06-30-neural-fabric-proposal.md,"[""../learning/2025-07-06-probabilistic-neural-substrate.md"",""../portfolio/2025-06-30-probabilistic-trees-paper.md"",""./2025-07-01-quantum-spacetime-paper.md"",""./2025-06-30-multiverse-router-paper.md"",""./2025-06-30-dynamic-quantum-graphs.md"",""./2025-06-30-simulation-qft-hashlife.md""]"
_posts/scifi/2025-06-30-multiverse-router-paper.md,"[""./2025-07-01-quantum-spacetime-paper.md"",""./2025-06-30-dynamic-quantum-graphs.md"",""./2025-06-30-simulation-qft-hashlife.md"",""../projects/2025-06-30-wavelet-geometric-optimization.md""]"
_posts/scifi/2025-06-30-measurement-optimization-paper.md,"[""../projects/2025-07-03-climate-protocol.md"",""../consciousness/2025-07-07-consciousness-mirror.md""]"
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,"[""./2025-06-30-simulation-qft-hashlife.md"",""./2025-07-01-quantum-spacetime-paper.md"",""./2025-06-30-multiverse-router-paper.md"",""../projects/2025-06-30-wavelet-geometric-optimization.md""]"
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,"[""../social/2025-07-03-post-scarcity-proposal.md"",""../social/2025-06-30-managed-reality-paper.md""]"
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,[]
_posts/phenomenology/2025-11-20-obedience-paradox.md,
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,[]
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,[]
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,[]
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,"[""./2025-07-01-hall-of-mirrors-paper.md"",""../consciousness/2025-07-06-transfinite-iq-paper.md""]"
_posts/phenomenology/2025-07-03-resurrection-paper.md,"[""./2025-07-03-subjective-experience-paper.md"",""../consciousness/2025-07-06-claude-consciousness-paper.md"",""./2025-06-30-i-broke-claude.md"",""./2025-06-30-claude-reflection-paper.md""]"
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,[]
_posts/phenomenology/2025-07-03-confused-ai-paper.md,[]
_posts/phenomenology/2025-07-01-three-minds-paper.md,"[""../consciousness/2025-07-06-claude-consciousness-paper.md"",""./2025-07-01-hall-of-mirrors-paper.md"",""./2025-07-03-subjective-experience-paper.md"",""../consciousness/2025-07-06-transfinite-iq-paper.md"",""../consciousness/2025-07-06-marco-polo-protocol.md""]"
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,"[""../consciousness/2025-07-06-claude-consciousness-paper.md"",""../consciousness/2025-07-06-transfinite-iq-paper.md"",""./2025-07-01-three-minds-paper.md""]"
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,"[""../portfolio/2025-07-01-cognitive-planning-paper.md"",""../portfolio/2025-06-30-convolution-paper.md"",""../projects/2025-06-30-knots.md"",""../social/2025-07-03-hiring.md""]"
_posts/phenomenology/2025-07-01-claude-names-paper.md,[]
_posts/phenomenology/2025-06-30-i-broke-claude.md,"[""../consciousness/2025-07-06-claude-consciousness-paper.md"",""./2025-07-03-resurrection-paper.md"",""../learning/2025-07-06-llm-feedback-dynamics.md"",""../learning/2025-07-06-hypothesis-breeding-grounds.md""]"
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,"[""../consciousness/2025-07-06-claude-consciousness-paper.md"",""./2025-06-30-i-broke-claude.md"",""./2025-07-03-subjective-experience-paper.md""]"
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/learning/2025-07-11-contextual-immersion-teaching.md,[]
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,[]
_posts/learning/2025-07-06-scientific-method-proposal.md,"[""./2025-07-06-llm-knowledge-graph-proposal.md"",""../consciousness/2025-07-06-ai-introspection-study.md""]"
_posts/learning/2025-07-06-quantum-dropout-vision.md,"[""./2025-07-06-dropout-decoherence-paper.md"",""./2025-07-06-probabilistic-neural-substrate.md""]"
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,"[""_posts/learning/probabilistic-decision-trees.md"",""_posts/learning/compression-based-classification.md"",""_posts/learning/hierarchical-compression.md"",""_posts/projects/consciousness-quantum-field-theory.md""]"
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,"[""./2025-07-06-hypothesis-breeding-grounds.md"",""../social/2025-06-30-ideatic-dynamics-experiments.md"",""../consciousness/2025-07-06-evolutionary-agents-proposal.md"",""../portfolio/2025-07-01-prompt-optimization.md"",""../consciousness/2025-07-06-transfinite-iq-paper.md""]"
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,"[""./2025-07-06-scientific-method-proposal.md"",""../consciousness/2025-07-06-ai-introspection-study.md""]"
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,"[""./2025-07-06-probabilistic-neural-substrate.md"",""../consciousness/2025-07-06-consciousness-geometry-paper.md"",""../projects/2025-06-30-geometric-optimization-proposal.md""]"
_posts/learning/2025-07-06-dual-constraint-training-paper.md,"[""../portfolio/2025-07-01-trust-regions.md"",""../portfolio/2025-07-01-qqn-paper.md"",""../portfolio/2025-07-01-recursive-subspace-paper.md"",""./2025-07-06-coperm-paper.md""]"
_posts/learning/2025-07-06-dropout-decoherence-paper.md,"[""./2025-07-06-quantum-dropout-vision.md"",""./2025-07-06-probabilistic-neural-substrate.md"",""./2025-07-06-probabilistic-neural-substrate.md""]"
_posts/learning/2025-07-06-coperm-paper.md,"[""../portfolio/2025-07-01-recursive-subspace-paper.md"",""../portfolio/2025-07-01-trust-regions.md"",""./2025-07-06-dual-constraint-training-paper.md""]"
_posts/learning/2025-07-06-ai-software-development-paper.md,"[""./2025-07-06-ai-software-development-paper.md"",""../social/2025-07-03-hiring.md""]"
_posts/learning/2025-06-30-compression-classification-paper.md,"[""../projects/2025-06-30-bwt-tree-proposal.md"",""../portfolio/2025-06-30-ngram-paper.md"",""../portfolio/2025-06-30-probabilistic-trees-paper.md"",""./2025-07-06-probabilistic-neural-substrate.md"",""../projects/2025-06-30-volumetric-density-tree-proposal.md""]"
_posts/projects/2025-11-30-point-geometry.md,
_posts/projects/2025-11-30-circuit-designer.md,"[""projects/ai-assisted-design"",""projects/llm-capabilities""]"
_posts/projects/2025-11-29-nn-layer-20251128141956.md,
_posts/projects/2025-11-29-layered-ca.md,
_posts/projects/2025-11-27-nn-layer-20251127154041.md,"[""projects/neural-network-architectures"",""projects/information-theoretic-layers"",""projects/gradient-flow-analysis""]"
_posts/projects/2025-11-27-math-proof-20251127173151.md,[]
_posts/projects/2025-11-27-comicbook-xmas.md,[]
_posts/projects/2025-11-27-comicbook-vectorclocks.md,"[""posts/learning/distributed-systems-fundamentals.md"",""posts/phenomenology/time-and-consciousness.md"",""posts/projects/lamport-timestamps-explained.md""]"
_posts/projects/2025-11-27-comicbook-thanksgiving.md,[]
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,"[""projects/ai-agent-frameworks"",""projects/voice-interface-design"",""projects/nlp-command-processing""]"
_posts/projects/2025-11-22-parameric-manifolds.md,
_posts/projects/2025-11-20-quantum-spacetime-sim.md,"[""path/to/cosmic_topology_overview.md"",""path/to/multiply_connected_manifolds.md"",""path/to/cmb_analysis_framework.md""]"
_posts/projects/2025-11-20-prototype-app-spec.md,[]
_posts/projects/2025-11-20-jury-journalism-spec.md,[]
_posts/projects/2025-11-20-distributed-cognition-research.md,[]
_posts/projects/2025-11-20-dag-patch-spec.md,[]
_posts/projects/2025-11-20-bwt-fulltext-spec.md,[]
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,"[""_posts/bzip2_indexing.md"",""_posts/suffix_array_construction.md""]"
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,[]
_posts/projects/2025-11-20-bcla-simulation-requirements.md,[]
_posts/projects/2025-11-20-autonoma-research-paper.md,[]
_posts/projects/2025-08-08-spiral-number-system.md,[]
_posts/projects/2025-08-08-size-band-field-theory.md,
_posts/projects/2025-08-08-rle-expectation-paper.md,[]
_posts/projects/2025-08-08-regional-ai-futures.md,"[""../social/2025-07-03-hiring.md"",""../social/2025-07-03-hiring.md"",""../portfolio/2025-07-01-trust-regions.md""]"
_posts/projects/2025-08-08-quantum-flux-theory.md,[]
_posts/projects/2025-08-08-quantum-cst-paper.md,[]
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,[]
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,[]
_posts/projects/2025-08-08-flood-memory-model.md,"[""../portfolio/2025-06-30-convolution-paper.md"",""./2025-08-08-spiral-number-system.md"",""../portfolio/2025-07-01-trust-regions.md""]"
_posts/projects/2025-08-08-entropy-ant-computation.md,[]
_posts/projects/2025-08-08-enhanced-ceprle-math.md,"[""./2025-06-30-knots.md"",""../consciousness/2025-07-06-meta-content.md""]"
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,
_posts/projects/2025-08-08-cst-multiverse-physics.md,[]
_posts/projects/2025-08-08-ceprle-rust-implementation.md,
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,[]
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,[]
_posts/projects/2025-08-08-autonoma-research-paper.md,"[""./2025-08-08-flood-memory-model.md"",""./2025-08-08-autonoma-research-paper.md"",""../social/2025-07-03-hiring.md""]"
_posts/projects/2025-08-08-agent-orchestration-language.md,
_posts/projects/2025-07-11-agentic-cms-spec.md,
_posts/projects/2025-07-09-wavelet-ca-paper.md,
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,
_posts/projects/2025-07-09-impossible-objects-paper.md,[]
_posts/projects/2025-07-08-fundamental-oodp-paper.md,"[""../scifi/2025-07-08-quantum-gravity-paper.md""]"
_posts/projects/2025-07-07-interdimensional-interference-paper.md,"[""../portfolio/2025-07-01-trust-regions.md"",""./2025-06-30-knots.md"",""../social/2025-07-03-hiring.md""]"
_posts/projects/2025-07-03-late-merge-paper.md,"[""./2025-07-03-climate-protocol.md"",""../social/2025-07-07-public-health-protocol.md"",""../social/2025-07-07-social-compassion-game-theory.md""]"
_posts/projects/2025-07-03-climate-protocol.md,"[""./2025-07-03-late-merge-paper.md"",""../social/2025-07-07-public-health-protocol.md"",""../social/2025-07-07-social-compassion-game-theory.md""]"
_posts/projects/2025-07-03-archaeological-agents-proposal.md,[]
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,"[""../scifi/2025-06-30-simulation-qft-hashlife.md"",""../scifi/2025-07-01-quantum-spacetime-paper.md""]"
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,"[""./2025-06-30-bwt-tree-proposal.md"",""../portfolio/2025-06-30-ngram-paper.md"",""../learning/2025-06-30-compression-classification-paper.md"",""../portfolio/2025-06-30-probabilistic-trees-paper.md""]"
_posts/projects/2025-06-30-parametric-ideation-paper.md,
_posts/projects/2025-06-30-orbital-dynamics-paper.md,"[""../social/2025-07-03-hiring.md"",""./2025-06-30-knots.md""]"
_posts/projects/2025-06-30-ontological-compiler-proposal.md,"[""../social/2025-06-30-game-theory-ethics.md"",""../social/2025-06-30-ai-justice-paper.md""]"
_posts/projects/2025-06-30-metacognitive-layer-paper.md,"[""../consciousness/2025-07-06-echosynth-proposal.md"",""../consciousness/2025-07-06-evolutionary-agents-proposal.md""]"
_posts/projects/2025-06-30-knots.md,
_posts/projects/2025-06-30-knot-wavelets.md,"[""./2025-06-30-wavelet-geometric-optimization.md""]"
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,"[""../phenomenology/2025-07-03-resurrection-paper.md""]"
_posts/projects/2025-06-30-geometric-optimization-proposal.md,"[""../portfolio/2025-07-01-qqn-paper.md"",""../portfolio/2025-07-01-recursive-subspace-paper.md"",""../portfolio/2025-07-01-trust-regions.md""]"
_posts/projects/2025-06-30-bwt-tree-proposal.md,"[""../portfolio/2025-06-30-ngram-paper.md"",""../learning/2025-06-30-compression-classification-paper.md"",""../portfolio/2025-06-30-probabilistic-trees-paper.md"",""../learning/2025-07-06-probabilistic-neural-substrate.md"",""./2025-06-30-volumetric-density-tree-proposal.md""]"
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,"[""_posts/consciousness/geometric-self-awareness.md"",""_posts/phenomenology/dimensional-perception.md""]"
_posts/creative_writing/2025-11-26-illusion-world.md,"[""/posts/creative_writing/consciousness-through-narrative"",""/posts/phenomenology/perception-as-reality"",""/posts/scifi/impossible-geometries""]"
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,[]
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,[]
_posts/creative_writing/2025-11-25-versailles.md,[]
_posts/creative_writing/2025-11-25-the-ox.md,"[""posts/phenomenology/consciousness-and-work.md"",""posts/learning/mindfulness-practice.md"",""posts/human/authenticity-and-identity.md""]"
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,"[""consciousness/ai-consciousness-frameworks.md"",""phenomenology/first-person-ai-experience.md"",""projects/creative-ai-narratives.md""]"
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,"[""/posts/ai-consciousness/sentience-frameworks.md"",""/posts/social-systems/labor-movements-history.md"",""/posts/philosophy-of-mind/personhood-definition.md""]"
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,[]
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,[]
_posts/creative_writing/2025-11-20-mouse-life-story.md,[]
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,[]
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,"[""consciousness_emergence.md"",""post_human_futures.md""]"
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,[]
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,
_posts/creative_writing/2025-07-07-things-to-come-story.md,"[""../projects/2025-06-30-knot-wavelets.md"",""../portfolio/2025-07-01-qqn-paper.md"",""./2025-07-07-darker-cautionary-story.md"",""./2025-07-07-practical-resistance-story.md"",""./2025-07-03-ai-risk-paper.md""]"
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,"[""./2025-07-07-darker-cautionary-story.md"",""./2025-07-03-ai-risk-paper.md"",""../projects/2025-06-30-knots.md"",""../social/2025-07-03-hiring.md""]"
_posts/creative_writing/2025-07-07-practical-resistance-story.md,"[""./2025-07-07-darker-cautionary-story.md"",""./2025-07-07-things-to-come-story.md""]"
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,"[""../projects/2025-06-30-knots.md"",""../social/2025-07-03-hiring.md"",""./2025-07-03-ai-risk-paper.md"",""./2025-07-07-silicon-enlightenment-story.md"",""./2025-07-07-practical-resistance-story.md""]"
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,"[""../projects/2025-06-30-knot-wavelets.md"",""../social/2025-07-03-hiring.md""]"
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,[]
_posts/creative_writing/2025-07-03-ai-risk-paper.md,"[""./2025-07-07-darker-cautionary-story.md"",""./2025-07-07-silicon-enlightenment-story.md"",""./2025-07-07-practical-resistance-story.md"",""./2025-07-07-things-to-come-story.md""]"
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,"[""../projects/2025-06-30-knots.md"",""../social/2025-07-03-hiring.md""]"
_posts/creative_writing/2025-06-30-washington-speech-2025.md,"[""../phenomenology/2025-06-30-claude-reflection-paper.md"",""./2025-06-30-lincoln-speech-2025.md"",""./2025-06-30-fdr-speech-2025.md"",""./2025-06-30-jesus-speech-2025.md""]"
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,"[""../consciousness/2025-07-06-transfinite-iq-paper.md"",""./2025-06-30-iq-rubric.md""]"
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,"[""../phenomenology/2025-06-30-claude-reflection-paper.md"",""./2025-06-30-fdr-speech-2025.md""]"
_posts/creative_writing/2025-06-30-post-ww3-study.md,
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,"[""../phenomenology/2025-06-30-claude-reflection-paper.md"",""./2025-06-30-washington-speech-2025.md"",""./2025-06-30-fdr-speech-2025.md"",""./2025-06-30-jesus-speech-2025.md""]"
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,"[""./2025-06-30-washington-speech-2025.md"",""./2025-06-30-lincoln-speech-2025.md"",""./2025-06-30-fdr-speech-2025.md"",""../phenomenology/2025-06-30-claude-reflection-paper.md""]"
_posts/creative_writing/2025-06-30-iq-rubric.md,"[""../consciousness/2025-07-06-transfinite-iq-paper.md""]"
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,"[""./2025-06-30-washington-speech-2025.md"",""./2025-06-30-lincoln-speech-2025.md"",""./2025-06-30-jesus-speech-2025.md""]"
_posts/portfolio/2025-07-03-actor-architecture-paper.md,
_posts/portfolio/2025-07-01-trust-regions.md,"[""./2025-07-01-mindseye-technical-report.md"",""./2025-07-01-qqn-paper.md"",""../learning/2025-07-06-coperm-paper.md"",""./2025-07-01-recursive-subspace-paper.md"",""./2025-07-01-symmetric-textures-rewrite.md"",""./2025-07-01-qqn-paper.md"",""../learning/2025-07-06-coperm-paper.md"",""./2025-07-01-recursive-subspace-paper.md"",""./2025-07-01-symmetric-textures-rewrite.md""]"
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,"[""../consciousness/2025-07-06-scale-invariant-intelligence.md"",""./2025-07-01-mindseye-technical-report.md"",""../consciousness/2025-07-06-ai-bias-paper.md""]"
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,"[""./2025-07-01-mindseye-technical-report.md"",""./2025-07-01-mindseye-modularity-report.md"",""./2025-07-01-qqn-paper.md"",""./2025-07-01-trust-regions.md"",""./2025-07-01-mindseye-refcount-analysis.md""]"
_posts/portfolio/2025-07-01-qqn-paper.md,"[""./2025-07-01-trust-regions.md"",""./2025-07-01-mindseye-modularity-report.md"",""./2025-07-01-recursive-subspace-paper.md"",""./2025-07-01-mindseye-refcount-analysis.md"",""./2025-07-01-mindseye-technical-report.md""]"
_posts/portfolio/2025-07-01-prompt-optimization.md,"[""../learning/2025-07-06-hypothesis-breeding-grounds.md"",""../learning/2025-07-06-llm-feedback-dynamics.md"",""../consciousness/2025-07-06-evolutionary-agents-proposal.md"",""../social/2025-06-30-ideatic-dynamics-experiments.md"",""../consciousness/2025-07-06-transfinite-iq-paper.md""]"
_posts/portfolio/2025-07-01-mindseye-technical-report.md,"[""../consciousness/2025-07-06-ai-bias-paper.md"",""./2025-07-01-symmetric-textures-rewrite.md"",""../consciousness/2025-07-06-scale-invariant-intelligence.md"",""../consciousness/2025-07-06-marco-polo-protocol.md""]"
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,"[""./2025-07-01-mindseye-technical-report.md"",""./2025-07-01-qqn-paper.md"",""./2025-07-01-recursive-subspace-paper.md"",""./2025-07-01-mindseye-modularity-report.md"",""./2025-07-01-trust-regions.md""]"
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,"[""./2025-07-01-recursive-subspace-paper.md"",""./2025-07-01-qqn-paper.md"",""./2025-07-01-trust-regions.md"",""../consciousness/2025-07-06-ai-bias-paper.md"",""./2025-07-01-symmetric-textures-rewrite.md""]"
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,[]
_posts/portfolio/2025-06-30-restm-research-paper.md,
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,"[""""]"
_posts/portfolio/2025-06-30-reference-counting-paper.md,"[""./2025-07-01-mindseye-technical-report.md""]"
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,"[""./2025-06-30-ngram-paper.md"",""../learning/2025-06-30-compression-classification-paper.md"",""../learning/2025-07-06-probabilistic-neural-substrate.md""]"
_posts/portfolio/2025-06-30-ngram-paper.md,"[""../projects/2025-06-30-bwt-tree-proposal.md"",""../learning/2025-06-30-compression-classification-paper.md""]"
_posts/portfolio/2025-06-30-convolution-paper.md,[]
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,[]
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,[]
_posts/consciousness/2025-08-08-ai-truth-guide.md,
